Accession	Name	No_orfs	Coverage	Abundance	Description
COG0252	AnsB	1	0.937321	0.000571	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0253	DapF	1	0.992647	0.000605	Diaminopimelate epimerase
COG0254	RpmE	1	0.933333	0.000568	Ribosomal protein L31
COG0255	RpmC	2	1.811594	0.001104	Ribosomal protein L29
COG0256	RplR	2	1.984	0.001209	Ribosomal protein L18
COG0257	RpmJ	1	1	0.000609	Ribosomal protein L36
COG0258	Exo	1	0.945161	0.000576	5'-3' exonuclease (including N-terminal domain of PolI)
COG0261	RplU	1	0.990291	0.000603	Ribosomal protein L21
COG0262	FolA	1	0.964071	0.000587	Dihydrofolate reductase
COG0263	ProB	1	0.997289	0.000607	Glutamate 5-kinase
COG0264	Tsf	1	0.996621	0.000607	Translation elongation factor Ts
COG0265	DegQ	1	0.760806	0.000463	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0266	Nei	1	1	0.000609	Formamidopyrimidine-DNA glycosylase
COG0267	RpmG	3	2.96	0.001804	Ribosomal protein L33
COG0268	RpsT	1	0.977272	0.000595	Ribosomal protein S20
COG0272	Lig	1	0.995502	0.000606	NAD-dependent DNA ligase (contains BRCT domain type II)
COG0274	DeoC	1	0.938596	0.000572	Deoxyribose-phosphate aldolase
COG0275	COG0275	2	1.958598	0.001193	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis
COG0281	SfcA	1	0.891203	0.000543	Malic enzyme
COG0282	ackA	3	2.219696	0.001352	Acetate kinase
COG0283	Cmk	2	1.981981	0.001208	Cytidylate kinase
COG0284	PyrF	1	0.954166	0.000581	Orotidine-5'-phosphate decarboxylase
COG0285	FolC	2	1.824355	0.001111	Folylpolyglutamate synthase
COG0287	TyrA	1	0.935483	0.00057	Prephenate dehydrogenase
COG0289	DapB	1	0.969924	0.000591	Dihydrodipicolinate reductase
COG0290	InfC	1	1	0.000609	Translation initiation factor 3 (IF-3)
COG0291	RpmI	1	0.984615	0.0006	Ribosomal protein L35
COG0292	RplT	1	1	0.000609	Ribosomal protein L20
COG0295	Cdd	1	0.932835	0.000568	Cytidine deaminase
COG0296	GlgB	1	0.982484	0.000598	1,4-alpha-glucan branching enzyme
COG0297	GlgA	2	1.967145	0.001199	Glycogen synthase
COG0299	PurN	1	0.99	0.000603	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0300	DltE	2	1.494339	0.00091	Short-chain dehydrogenases of various substrate specificities
COG0301	ThiI	1	1	0.000609	Thiamine biosynthesis ATP pyrophosphatase
COG0303	MoeA	1	0.346534	0.000211	Molybdopterin biosynthesis enzyme
COG0304	FabB	1	0.997572	0.000608	3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	DnaB	1	0.997701	0.000608	Replicative DNA helicase
COG0310	CbiM	1	0.955882	0.000582	ABC-type Co2+ transport system, permease component
COG0311	PDX2	1	0.98969	0.000603	Predicted glutamine amidotransferase involved in pyridoxine biosynthesis
COG0313	COG0313	1	0.996363	0.000607	Predicted methyltransferases
COG0315	MoaC	1	0.980891	0.000597	Molybdenum cofactor biosynthesis enzyme
COG0317	SpoT	2	1.079885	0.000658	Guanosine polyphosphate pyrophosphohydrolases/synthetases
COG0319	COG0319	2	1.457516	0.000888	Predicted metal-dependent hydrolase
COG0322	UvrC	1	0.993115	0.000605	Nuclease subunit of the excinuclease complex
COG0323	MutL	1	0.996865	0.000607	DNA mismatch repair enzyme (predicted ATPase)
COG0324	MiaA	1	0.990259	0.000603	tRNA delta(2)-isopentenylpyrophosphate transferase
COG0325	COG0325	1	0.969298	0.00059	Predicted enzyme with a TIM-barrel fold
COG0326	HtpG	1	0.990369	0.000603	Molecular chaperone, HSP90 family
COG0327	COG0327	2	1.976	0.001204	Uncharacterized conserved protein
COG0329	DapA	1	0.966555	0.000589	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	HflC	1	0.896907	0.000546	Membrane protease subunits, stomatin/prohibitin homologs
COG0331	FabD	1	0.996774	0.000607	(acyl-carrier-protein) S-malonyltransferase
COG0332	FabH	1	0.996904	0.000607	3-oxoacyl-[acyl-carrier-protein].
COG0333	RpmF	2	1.964912	0.001197	Ribosomal protein L32
COG0334	GdhA	1	1	0.000609	Glutamate dehydrogenase/leucine dehydrogenase
COG0335	RplS	2	1.965217	0.001197	Ribosomal protein L19
COG0336	TrmD	2	2	0.001219	tRNA-(guanine-N1)-methyltransferase
COG0337	AroB	1	0.944444	0.000575	3-dehydroquinate synthetase
COG0340	BirA	1	0.987394	0.000601	Biotin-(acetyl-CoA carboxylase) ligase
COG0343	Tgt	1	0.978494	0.000596	Queuine/archaeosine tRNA-ribosyltransferase
COG0344	COG0344	2	1.71	0.001042	Predicted membrane protein
COG0345	ProC	1	0.958646	0.000584	Pyrroline-5-carboxylate reductase
COG0350	Ada	1	1	0.000609	Methylated DNA-protein cysteine methyltransferase
COG0351	ThiD	1	0.996197	0.000607	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	ThiE	1	0.990521	0.000603	Thiamine monophosphate synthase
COG0353	RecR	1	1	0.000609	Recombinational DNA repair protein (RecF pathway)
COG0355	AtpC	1	0.992592	0.000605	F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)
COG0356	AtpB	1	0.853658	0.00052	F0F1-type ATP synthase, subunit a
COG0357	GidB	1	0.972093	0.000592	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
COG0358	DnaG	1	1	0.000609	DNA primase (bacterial type)
COG0359	RplI	1	0.986486	0.000601	Ribosomal protein L9
COG0360	RpsF	1	0.821428	0.0005	Ribosomal protein S6
COG0361	InfA	1	0.933333	0.000568	Translation initiation factor 1 (IF-1)
COG0363	NagB	2	1.991596	0.001213	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0366	AmyA	5	3.467326	0.002113	Glycosidases
COG0367	AsnB	2	1.952029	0.001189	Asparagine synthase (glutamine-hydrolyzing)
COG0370	FeoB	2	1.990811	0.001213	Fe2+ transport system protein B
COG0372	GltA	2	0.930769	0.000567	Citrate synthase
COG0378	HypB	1	0.267326	0.000162	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase
COG0379	NadA	1	0.891975	0.000543	Quinolinate synthase
COG0388	COG0388	1	0.985401	0.0006	Predicted amidohydrolase
COG0389	DinP	2	1.89548	0.001155	Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0392	COG0392	1	0.944099	0.000575	Predicted integral membrane protein
COG0396	sufC	2	1.474103	0.000898	Cysteine desulfurase activator ATPase
COG0406	phoE	7	6.350961	0.003871	Broad specificity phosphatase PhoE and related phosphatases
COG0416	PlsX	1	0.982248	0.000598	Fatty acid/phospholipid biosynthesis enzyme
COG0419	SbcC	5	1.870044	0.001139	ATPase involved in DNA repair
COG0420	SbcD	1	0.925641	0.000564	DNA repair exonuclease
COG0421	SpeE	1	0.475177	0.000289	Spermidine synthase
COG0423	GRS1	1	0.987455	0.000601	Glycyl-tRNA synthetase (class II)
COG0424	Maf	1	0.958549	0.000584	Nucleotide-binding protein implicated in inhibition of septum formation
COG0425	SirA	1	0.615384	0.000375	Predicted redox protein, regulator of disulfide bond formation
COG0428	COG0428	3	1.68421	0.001026	Predicted divalent heavy-metal cations transporter
COG0436	COG0436	3	2.796437	0.001704	Aspartate/tyrosine/aromatic aminotransferase
COG0438	RfaG	4	3.511811	0.00214	Glycosyltransferase
COG0439	AccC	1	0.991091	0.000604	Biotin carboxylase
COG0441	ThrS	1	0.964346	0.000587	Threonyl-tRNA synthetase
COG0442	ProS	1	0.966	0.000588	Prolyl-tRNA synthetase
COG0443	DnaK	3	2.972366	0.001811	Molecular chaperone
COG0444	DppD	3	2.797468	0.001705	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG0445	GidA	1	0.995169	0.000606	Flavin-dependent tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
COG0448	GlgC	2	1.801526	0.001098	ADP-glucose pyrophosphorylase
COG0449	GlmS	2	1.557788	0.000949	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains
COG0450	AhpC	1	0.963917	0.000587	Peroxiredoxin
COG0451	WcaG	3	2.652866	0.001616	Nucleoside-diphosphate-sugar epimerases
COG0452	Dfp	1	0.903061	0.00055	Phosphopantothenoylcysteine synthetase/decarboxylase
COG0456	RimI	7	4.59322	0.002799	Acetyltransferases
COG0458	CarB	4	3.92	0.002389	Carbamoylphosphate synthase large subunit (split gene in MJ)
COG0459	GroL	1	0.996183	0.000607	Chaperonin GroEL (HSP60 family)
COG0460	ThrA	1	0.969969	0.000591	Homoserine dehydrogenase
COG0461	PyrE	1	0.990049	0.000603	Orotate phosphoribosyltransferase
COG0462	PrsA	1	0.996815	0.000607	Phosphoribosylpyrophosphate synthetase
COG0463	WcaA	5	4.092783	0.002494	Glycosyltransferases involved in cell wall biogenesis
COG0465	HflB	2	1.676174	0.001021	ATP-dependent Zn proteases
COG0466	Lon	1	0.985933	0.0006	ATP-dependent Lon protease, bacterial type
COG0468	RecA	1	0.989247	0.000602	RecA/RadA recombinase
COG0469	PykF	5	2.821802	0.001719	Pyruvate kinase
COG0472	Rfe	2	1.940438	0.001182	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase
COG0473	LeuB	2	1.971264	0.001201	Isocitrate/isopropylmalate dehydrogenase
COG0474	MgtA	4	1.283533	0.000782	Cation transport ATPase
COG0476	ThiF	1	0.940944	0.000573	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
COG0480	FusA	3	2.959827	0.001804	Translation elongation factors (GTPases)
COG0481	LepA	1	0.998341	0.000608	Membrane GTPase LepA
COG0482	TrmU	1	0.997191	0.000607	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain
COG0484	DnaJ	3	2.207547	0.001345	DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0486	ThdF	1	1	0.000609	Predicted GTPase
COG0488	Uup	3	2.969811	0.00181	ATPase components of ABC transporters with duplicated ATPase domains
COG0489	Mrp	1	0.803773	0.000489	ATPases involved in chromosome partitioning
COG0491	GloB	1	0.876984	0.000534	Zn-dependent hydrolases, including glyoxylases
COG0492	TrxB	2	1.980327	0.001207	Thioredoxin reductase
COG0493	GltD	2	1.967177	0.001199	NADPH-dependent glutamate synthase beta chain and related oxidoreductases
COG0495	LeuS	2	1.995085	0.001216	Leucyl-tRNA synthetase
COG0497	RecN	2	0.962298	0.000586	ATPase involved in DNA repair
COG0498	ThrC	1	0.96107	0.000585	Threonine synthase
COG0500	SmtA	2	1.435797	0.000875	SAM-dependent methyltransferases
COG0503	Apt	2	1.877094	0.001144	Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins
COG0504	PyrG	1	0.998123	0.000608	CTP synthase (UTP-ammonia lyase)
COG0505	CarA	1	0.98913	0.000602	Carbamoylphosphate synthase small subunit
COG0507	RecD	1	0.985632	0.0006	ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member
COG0511	AccB	1	0.992857	0.000605	Biotin carboxyl carrier protein
COG0512	PabA	1	0.979057	0.000596	Anthranilate/para-aminobenzoate synthases component II
COG0513	SrmB	2	1.779727	0.001084	Superfamily II DNA and RNA helicases
COG0515	SPS1	4	3.023437	0.001842	Serine/threonine protein kinase
COG0516	GuaB	2	1.535294	0.000935	IMP dehydrogenase/GMP reductase
COG0517	COG0517	2	1.196581	0.000729	FOG: CBS domain
COG0518	GuaA	1	0.989898	0.000603	GMP synthase - Glutamine amidotransferase domain
COG0519	GuaA	1	1	0.000609	GMP synthase, PP-ATPase domain/subunit
COG0520	csdA	2	1.933333	0.001178	Selenocysteine lyase/Cysteine desulfurase
COG0521	MoaB	1	0.994082	0.000605	Molybdopterin biosynthesis enzymes
COG0522	RpsD	1	1	0.000609	Ribosomal protein S4 and related proteins
COG0523	COG0523	4	3.185758	0.001941	Putative GTPases (G3E family)
COG0524	RbsK	2	0.803858	0.000489	Sugar kinases, ribokinase family
COG0525	ValS	2	1.155074	0.000704	Valyl-tRNA synthetase
COG0526	TrxA	1	0.692913	0.000422	Thiol-disulfide isomerase and thioredoxins
COG0527	LysC	2	1.340044	0.000816	Aspartokinases
COG0528	PyrH	1	0.991596	0.000604	Uridylate kinase
COG0530	ECM27	5	3.75625	0.002289	Ca2+/Na+ antiporter
COG0531	PotE	1	0.896995	0.000546	Amino acid transporters
COG0532	InfB	1	0.994106	0.000605	Translation initiation factor 2 (IF-2; GTPase)
COG0533	QRI7	1	0.976608	0.000595	Metal-dependent proteases with possible chaperone activity
COG0534	NorM	20	18.050549	0.011002	Na+-driven multidrug efflux pump
COG0535	COG0535	2	1.285302	0.000783	Predicted Fe-S oxidoreductases
COG0536	Obg	1	0.978319	0.000596	Predicted GTPase
COG0537	Hit	1	0.97826	0.000596	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
COG0540	PyrB	1	0.468354	0.000285	Aspartate carbamoyltransferase, catalytic chain
COG0541	Ffh	1	0.993348	0.000605	Signal recognition particle GTPase
COG0542	clpA	3	2.282442	0.001391	ATP-binding subunits of Clp protease and DnaK/DnaJ chaperones
COG0543	UbiB	2	1.928571	0.001175	2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases
COG0544	Tig	2	1.653061	0.001007	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
