Accession	Name	No_orfs	Coverage	Abundance	Description
COG0061	nadF	1	0.861209	0.000299	NAD kinase
COG0062	COG0062	1	1	0.000347	Uncharacterized conserved protein
COG0063	COG0063	1	0.957746	0.000333	Predicted sugar kinase
COG0064	GatB	1	1	0.000347	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)
COG0065	LeuC	1	0.992907	0.000345	3-isopropylmalate dehydratase large subunit
COG0067	GltB	1	1	0.000347	Glutamate synthase domain 1
COG0069	GltB	3	2.76701	0.000962	Glutamate synthase domain 2
COG0070	GltB	1	0.980066	0.00034	Glutamate synthase domain 3
COG0071	IbpA	3	2.815068	0.000979	Molecular chaperone (small heat shock protein)
COG0072	PheT	1	1	0.000347	Phenylalanyl-tRNA synthetase beta subunit
COG0073	ARC1	2	1.943089	0.000675	EMAP domain
COG0074	SucD	1	0.993174	0.000345	Succinyl-CoA synthetase, alpha subunit
COG0075	COG0075	1	0.869451	0.000302	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
COG0076	GadB	1	0.976086	0.000339	Glutamate decarboxylase and related PLP-dependent proteins
COG0077	PheA	1	1	0.000347	Prephenate dehydratase
COG0078	ArgF	1	0.98387	0.000342	Ornithine carbamoyltransferase
COG0079	HisC	2	1.963483	0.000682	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
COG0080	RplK	1	0.992907	0.000345	Ribosomal protein L11
COG0081	RplA	1	1	0.000347	Ribosomal protein L1
COG0082	AroC	1	0.970189	0.000337	Chorismate synthase
COG0084	TatD	1	0.984375	0.000342	Mg-dependent DNase
COG0085	RpoB	1	0.995283	0.000346	DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086	RpoC	2	1.02599	0.000356	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	RplC	1	1	0.000347	Ribosomal protein L3
COG0088	RplD	1	0.981308	0.000341	Ribosomal protein L4
COG0089	RplW	1	1	0.000347	Ribosomal protein L23
COG0090	RplB	1	1	0.000347	Ribosomal protein L2
COG0091	RplV	1	0.941666	0.000327	Ribosomal protein L22
COG0092	RpsC	2	0.845493	0.000294	Ribosomal protein S3
COG0093	RplN	1	1	0.000347	Ribosomal protein L14
COG0094	RplE	1	0.983333	0.000341	Ribosomal protein L5
COG0096	RpsH	1	1	0.000347	Ribosomal protein S8
COG0097	RplF	1	0.988764	0.000343	Ribosomal protein L6P/L9E
COG0098	RpsE	1	0.9779	0.00034	Ribosomal protein S5
COG0099	RpsM	1	1	0.000347	Ribosomal protein S13
COG0100	RpsK	1	1	0.000347	Ribosomal protein S11
COG0101	TruA	1	0.917293	0.000319	Pseudouridylate synthase
COG0102	RplM	1	1	0.000347	Ribosomal protein L13
COG0103	RpsI	1	0.992307	0.000345	Ribosomal protein S9
COG0104	PurA	1	1	0.000347	Adenylosuccinate synthase
COG0105	Ndk	1	1	0.000347	Nucleoside diphosphate kinase
COG0106	HisA	1	0.987551	0.000343	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	HisF	1	1	0.000347	Imidazoleglycerol-phosphate synthase
COG0108	RibB	1	0.995073	0.000346	3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0109	CyoE	1	0.940789	0.000327	Polyprenyltransferase (cytochrome oxidase assembly factor)
COG0110	WbbJ	3	1.910526	0.000664	Acetyltransferase (isoleucine patch superfamily)
COG0111	SerA	4	3.780864	0.001314	Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	GlyA	1	1	0.000347	Glycine/serine hydroxymethyltransferase
COG0113	HemB	2	1.230303	0.000427	Delta-aminolevulinic acid dehydratase
COG0114	FumC	1	1	0.000347	Fumarase
COG0115	IlvE	2	1.957746	0.00068	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0117	RibD	1	0.972602	0.000338	Pyrimidine deaminase
COG0118	HisH	1	0.985294	0.000342	Glutamine amidotransferase
COG0119	LeuA	3	2.645476	0.00092	Isopropylmalate/homocitrate/citramalate synthases
COG0120	RpiA	1	1	0.000347	Ribose 5-phosphate isomerase
COG0122	AlkA	1	0.782456	0.000272	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123	AcuC	1	0.908823	0.000316	Deacetylases, including yeast histone deacetylase and acetoin utilization protein
COG0124	HisS	2	1.030303	0.000358	Histidyl-tRNA synthetase
COG0125	Tmk	1	0.985576	0.000342	Thymidylate kinase
COG0126	Pgk	1	0.989873	0.000344	3-phosphoglycerate kinase
COG0127	COG0127	1	0.969072	0.000337	Xanthosine triphosphate pyrophosphatase
COG0128	AroA	1	0.983644	0.000342	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	IlvD	3	2.975652	0.001034	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	TruB	1	0.996309	0.000346	Pseudouridine synthase
COG0131	HisB	1	1	0.000347	Imidazoleglycerol-phosphate dehydratase
COG0133	TrpB	1	0.992424	0.000345	Tryptophan synthase beta chain
COG0134	TrpC	1	1	0.000347	Indole-3-glycerol phosphate synthase
COG0135	TrpF	1	0.980769	0.000341	Phosphoribosylanthranilate isomerase
COG0136	Asd	1	0.997005	0.000346	Aspartate-semialdehyde dehydrogenase
COG0137	ArgG	1	0.995037	0.000346	Argininosuccinate synthase
COG0138	PurH	2	1.102912	0.000383	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
COG0139	HisI	1	0.981981	0.000341	Phosphoribosyl-AMP cyclohydrolase
COG0140	HisI	1	0.98913	0.000343	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	HisD	3	2.903529	0.001009	Histidinol dehydrogenase
COG0142	IspA	2	1.993788	0.000693	Geranylgeranyl pyrophosphate synthase
COG0143	MetG	1	0.985663	0.000342	Methionyl-tRNA synthetase
COG0144	Sun	2	1.873239	0.000651	tRNA and rRNA cytosine-C5-methylases
COG0147	TrpE	2	1.831168	0.000636	Anthranilate/para-aminobenzoate synthases component I
COG0148	Eno	1	0.995271	0.000346	Enolase
COG0149	TpiA	2	1.980079	0.000688	Triosephosphate isomerase
COG0150	PurM	1	1	0.000347	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	PurD	1	0.99299	0.000345	Phosphoribosylamine-glycine ligase
COG0152	PurC	1	1	0.000347	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
COG0154	GatA	3	2.172631	0.000755	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases
COG0155	CysI	2	1.011764	0.000351	Sulfite reductase, beta subunit (hemoprotein)
COG0156	BioF	5	4.835051	0.001681	7-keto-8-aminopelargonate synthetase and related enzymes
COG0157	NadC	1	0.985714	0.000342	Nicotinate-nucleotide pyrophosphorylase
COG0159	TrpA	1	0.992452	0.000345	Tryptophan synthase alpha chain
COG0161	BioA	3	2.902004	0.001009	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0162	TyrS	1	0.997506	0.000346	Tyrosyl-tRNA synthetase
COG0164	RnhB	1	0.934673	0.000325	Ribonuclease HII
COG0165	ArgH	2	1.936819	0.000673	Argininosuccinate lyase
COG0166	Pgi	1	0.993273	0.000345	Glucose-6-phosphate isomerase
COG0167	PyrD	2	1.987096	0.000691	Dihydroorotate dehydrogenase
COG0168	TrkG	2	1.793587	0.000623	Trk-type K+ transport systems, membrane components
COG0169	AroE	1	0.971731	0.000337	Shikimate 5-dehydrogenase
COG0171	NadE	1	0.988805	0.000343	NAD synthase
COG0172	SerS	1	0.995337	0.000346	Seryl-tRNA synthetase
COG0173	AspS	1	1	0.000347	Aspartyl-tRNA synthetase
COG0174	GlnA	2	1.995485	0.000693	Glutamine synthetase
COG0175	CysH	3	2.003831	0.000696	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
COG0176	MipB	1	0.962343	0.000334	Transaldolase
COG0177	Nth	1	0.962085	0.000334	Predicted EndoIII-related endonuclease
COG0178	UvrA	1	1	0.000347	Excinuclease ATPase subunit
COG0179	MhpD	4	3.18421	0.001107	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
COG0180	TrpS	1	1	0.000347	Tryptophanyl-tRNA synthetase
COG0181	HemC	1	0.990228	0.000344	Porphobilinogen deaminase
COG0182	COG0182	1	1	0.000347	Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family
COG0183	PaaJ	4	3.897959	0.001355	Acetyl-CoA acetyltransferase
COG0184	RpsO	1	1	0.000347	Ribosomal protein S15P/S13E
COG0185	RpsS	1	1	0.000347	Ribosomal protein S19
COG0186	RpsQ	1	0.850574	0.000295	Ribosomal protein S17
COG0187	GyrB	3	1.823622	0.000634	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit
COG0188	GyrA	2	1.912935	0.000665	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit
COG0189	RimK	2	1.273584	0.000442	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)
COG0190	FolD	1	1	0.000347	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	Fba	2	1.996503	0.000694	Fructose/tagatose bisphosphate aldolase
COG0192	MetK	1	0.997422	0.000346	S-adenosylmethionine synthetase
COG0193	Pth	1	0.973684	0.000338	Peptidyl-tRNA hydrolase
COG0195	NusA	1	0.98421	0.000342	Transcription elongation factor
COG0196	RibF	1	0.99671	0.000346	FAD synthase
COG0197	RplP	1	0.938356	0.000326	Ribosomal protein L16/L10E
COG0198	RplX	1	0.990384	0.000344	Ribosomal protein L24
COG0199	RpsN	1	1	0.000347	Ribosomal protein S14
COG0200	RplO	1	0.993421	0.000345	Ribosomal protein L15
COG0201	SecY	1	0.997706	0.000346	Preprotein translocase subunit SecY
COG0202	RpoA	1	1	0.000347	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	RplQ	1	1	0.000347	Ribosomal protein L17
COG0204	PlsC	3	2.843137	0.000988	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0206	FtsZ	1	0.849112	0.000295	Cell division GTPase
COG0207	ThyA	1	0.992537	0.000345	Thymidylate synthase
COG0209	NrdA	1	0.993855	0.000345	Ribonucleotide reductase, alpha subunit
COG0210	UvrD	1	0.987786	0.000343	Superfamily I DNA and RNA helicases
COG0211	RpmA	1	1	0.000347	Ribosomal protein L27
COG0212	COG0212	1	0.994764	0.000345	5-formyltetrahydrofolate cyclo-ligase
COG0213	DeoA	1	1	0.000347	Thymidine phosphorylase
COG0215	CysS	1	0.984913	0.000342	Cysteinyl-tRNA synthetase
COG0216	PrfA	1	1	0.000347	Protein chain release factor A
COG0217	COG0217	1	1	0.000347	Uncharacterized conserved protein
COG0218	COG0218	2	0.815	0.000283	Predicted GTPase
COG0219	CspR	1	0.954838	0.000332	Predicted rRNA methylase (SpoU class)
COG0220	COG0220	1	0.986784	0.000343	Predicted S-adenosylmethionine-dependent methyltransferase
COG0221	Ppa	1	1	0.000347	Inorganic pyrophosphatase
COG0222	RplL	1	0.991935	0.000344	Ribosomal protein L7/L12
COG0223	Fmt	2	1.348534	0.000468	Methionyl-tRNA formyltransferase
COG0224	AtpG	1	0.996515	0.000346	F0F1-type ATP synthase, gamma subunit
COG0225	MsrA	2	1.95977	0.000681	Peptide methionine sulfoxide reductase
COG0226	PstS	1	0.893081	0.00031	ABC-type phosphate transport system, periplasmic component
COG0227	RpmB	1	0.974025	0.000338	Ribosomal protein L28
COG0228	RpsP	1	1	0.000347	Ribosomal protein S16
COG0229	COG0229	2	1.842857	0.00064	Conserved domain frequently associated with peptide methionine sulfoxide reductase
COG0231	Efp	1	0.992366	0.000345	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	Dgt	1	0.990291	0.000344	dGTP triphosphohydrolase
COG0233	Frr	1	0.989304	0.000344	Ribosome recycling factor
COG0234	GroS	1	0.979166	0.00034	Co-chaperonin GroES (HSP10)
COG0235	AraD	1	0.92694	0.000322	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
COG0236	AcpP	2	1.75	0.000608	Acyl carrier protein
COG0237	CoaE	1	0.960199	0.000333	Dephospho-CoA kinase
COG0238	RpsR	1	0.8	0.000278	Ribosomal protein S18
COG0239	CrcB	1	0.873015	0.000303	Integral membrane protein possibly involved in chromosome condensation
COG0240	GpsA	1	1	0.000347	Glycerol-3-phosphate dehydrogenase
COG0242	Def	1	1	0.000347	N-formylmethionyl-tRNA deformylase
COG0243	BisC	3	2.85098	0.000991	Anaerobic dehydrogenases, typically selenocysteine-containing
COG0244	RplJ	1	0.988571	0.000343	Ribosomal protein L10
COG0245	IspF	1	1	0.000347	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0246	MtlD	3	2.87315	0.000999	Mannitol-1-phosphate/altronate dehydrogenases
COG0247	GlpC	2	1.615979	0.000561	Fe-S oxidoreductase
COG0248	GppA	2	1.57317	0.000547	Exopolyphosphatase
COG0249	MutS	1	0.998813	0.000347	Mismatch repair ATPase (MutS family)
COG0250	NusG	1	0.994382	0.000345	Transcription antiterminator
COG0251	TdcF	4	3.853846	0.00134	Putative translation initiation inhibitor, yjgF family
COG0253	DapF	1	1	0.000347	Diaminopimelate epimerase
COG0254	RpmE	1	0.946666	0.000329	Ribosomal protein L31
COG0255	RpmC	1	0.840579	0.000292	Ribosomal protein L29
COG0256	RplR	1	0.904	0.000314	Ribosomal protein L18
COG0257	RpmJ	1	1	0.000347	Ribosomal protein L36
COG0258	Exo	1	0.974193	0.000338	5'-3' exonuclease (including N-terminal domain of PolI)
COG0259	PdxH	1	0.948598	0.000329	Pyridoxamine-phosphate oxidase
COG0260	PepB	2	1.98969	0.000691	Leucyl aminopeptidase
COG0261	RplU	1	0.990291	0.000344	Ribosomal protein L21
COG0262	FolA	3	2.748502	0.000955	Dihydrofolate reductase
COG0263	ProB	1	0.997289	0.000346	Glutamate 5-kinase
COG0264	Tsf	1	0.996621	0.000346	Translation elongation factor Ts
COG0265	DegQ	4	3.700288	0.001286	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0266	Nei	1	1	0.000347	Formamidopyrimidine-DNA glycosylase
COG0267	RpmG	1	0.94	0.000326	Ribosomal protein L33
COG0268	RpsT	1	1	0.000347	Ribosomal protein S20
COG0271	BolA	2	1.755555	0.00061	Stress-induced morphogen (activity unknown)
COG0272	Lig	2	1.101949	0.000383	NAD-dependent DNA ligase (contains BRCT domain type II)
COG0274	DeoC	1	0.995614	0.000346	Deoxyribose-phosphate aldolase
COG0275	COG0275	1	0.980891	0.000341	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis
COG0276	HemH	1	0.990625	0.000344	Protoheme ferro-lyase (ferrochelatase)
COG0277	GlcD	6	5.74074	0.001996	FAD/FMN-containing dehydrogenases
COG0278	COG0278	1	1	0.000347	Glutaredoxin-related protein
COG0280	Pta	2	1.963302	0.000682	Phosphotransacetylase
COG0281	SfcA	1	0.969907	0.000337	Malic enzyme
COG0283	Cmk	1	0.99099	0.000344	Cytidylate kinase
COG0285	FolC	1	0.967213	0.000336	Folylpolyglutamate synthase
COG0287	TyrA	1	0.992831	0.000345	Prephenate dehydrogenase
COG0288	CynT	2	1.946859	0.000677	Carbonic anhydrase
COG0289	DapB	1	1	0.000347	Dihydrodipicolinate reductase
COG0290	InfC	1	0.960227	0.000333	Translation initiation factor 3 (IF-3)
COG0291	RpmI	1	0.96923	0.000337	Ribosomal protein L35
COG0292	RplT	1	1	0.000347	Ribosomal protein L20
COG0293	FtsJ	1	0.995121	0.000346	23S rRNA methylase
COG0294	FolP	1	0.959854	0.000333	Dihydropteroate synthase and related enzymes
COG0295	Cdd	1	0.895522	0.000311	Cytidine deaminase
COG0299	PurN	1	0.97	0.000337	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0302	FolE	1	0.989743	0.000344	GTP cyclohydrolase I
COG0303	MoeA	1	0.987623	0.000343	Molybdopterin biosynthesis enzyme
COG0304	FabB	4	3.805825	0.001323	3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	DnaB	1	1	0.000347	Replicative DNA helicase
COG0306	PitA	1	0.990797	0.000344	Phosphate/sulphate permeases
COG0307	RibC	1	0.95098	0.00033	Riboflavin synthase alpha chain
COG0308	PepN	1	0.996507	0.000346	Aminopeptidase N
COG0312	TldD	2	1.964757	0.000683	Predicted Zn-dependent proteases and their inactivated homologs
COG0313	COG0313	1	1	0.000347	Predicted methyltransferases
COG0314	MoaE	1	0.90604	0.000315	Molybdopterin converting factor, large subunit
COG0315	MoaC	1	0.99363	0.000345	Molybdenum cofactor biosynthesis enzyme
COG0316	sufA	2	1.972727	0.000686	Fe-S cluster assembly scaffold protein
COG0317	SpoT	1	0.992867	0.000345	Guanosine polyphosphate pyrophosphohydrolases/synthetases
COG0318	CaiC	3	2.940074	0.001022	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
COG0319	COG0319	1	0.803921	0.000279	Predicted metal-dependent hydrolase
COG0320	LipA	1	0.986928	0.000343	Lipoate synthase
COG0321	LipB	1	0.936651	0.000325	Lipoate-protein ligase B
COG0322	UvrC	1	1	0.000347	Nuclease subunit of the excinuclease complex
COG0323	MutL	1	0.995297	0.000346	DNA mismatch repair enzyme (predicted ATPase)
COG0324	MiaA	1	0.931818	0.000324	tRNA delta(2)-isopentenylpyrophosphate transferase
COG0325	COG0325	1	0.991228	0.000344	Predicted enzyme with a TIM-barrel fold
COG0326	HtpG	1	0.998394	0.000347	Molecular chaperone, HSP90 family
COG0328	RnhA	1	0.967532	0.000336	Ribonuclease HI
COG0329	DapA	3	2.913043	0.001013	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	HflC	4	3.316151	0.001153	Membrane protease subunits, stomatin/prohibitin homologs
COG0331	FabD	1	0.996774	0.000346	(acyl-carrier-protein) S-malonyltransferase
COG0332	FabH	2	1.975232	0.000686	3-oxoacyl-[acyl-carrier-protein].
COG0333	RpmF	1	1	0.000347	Ribosomal protein L32
COG0334	GdhA	1	0.875912	0.000304	Glutamate dehydrogenase/leucine dehydrogenase
COG0335	RplS	1	0.973913	0.000338	Ribosomal protein L19
COG0336	TrmD	1	0.970833	0.000337	tRNA-(guanine-N1)-methyltransferase
COG0337	AroB	1	0.986111	0.000342	3-dehydroquinate synthetase
COG0339	Dcp	1	0.991215	0.000344	Zn-dependent oligopeptidases
COG0340	BirA	1	0.983193	0.000341	Biotin-(acetyl-CoA carboxylase) ligase
COG0342	SecD	2	1.32411	0.00046	Preprotein translocase subunit SecD
COG0343	Tgt	2	1.026881	0.000357	Queuine/archaeosine tRNA-ribosyltransferase
COG0344	COG0344	1	1	0.000347	Predicted membrane protein
COG0345	ProC	1	0.992481	0.000345	Pyrroline-5-carboxylate reductase
COG0346	GloA	11	10.608695	0.003689	Lactoylglutathione lyase and related lyases
COG0347	GlnK	2	2	0.000695	Nitrogen regulatory protein PII
COG0348	NapH	2	1.686528	0.000586	Polyferredoxin
COG0349	Rnd	3	1.598337	0.000555	Ribonuclease D
COG0350	Ada	2	1.988095	0.000691	Methylated DNA-protein cysteine methyltransferase
COG0351	ThiD	1	0.916349	0.000318	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	ThiE	2	1.905213	0.000662	Thiamine monophosphate synthase
COG0353	RecR	1	1	0.000347	Recombinational DNA repair protein (RecF pathway)
COG0354	COG0354	1	0.911475	0.000316	Predicted aminomethyltransferase related to GcvT
COG0355	AtpC	1	0.977777	0.00034	F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)
COG0356	AtpB	1	0.983739	0.000342	F0F1-type ATP synthase, subunit a
COG0357	GidB	1	0.995348	0.000346	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
COG0358	DnaG	1	0.973591	0.000338	DNA primase (bacterial type)
COG0359	RplI	1	0.972972	0.000338	Ribosomal protein L9
COG0360	RpsF	1	0.9375	0.000326	Ribosomal protein S6
COG0361	InfA	1	0.96	0.000333	Translation initiation factor 1 (IF-1)
COG0362	Gnd	2	1.029598	0.000358	6-phosphogluconate dehydrogenase
COG0363	NagB	2	1.945378	0.000676	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0364	Zwf	1	0.997929	0.000347	Glucose-6-phosphate 1-dehydrogenase
COG0365	Acs	4	2.998106	0.001042	Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases
COG0366	AmyA	1	0.986138	0.000342	Glycosidases
COG0368	CobS	1	0.971544	0.000337	Cobalamin-5-phosphate synthase
COG0369	CysJ	1	0.913117	0.000317	Sulfite reductase, alpha subunit (flavoprotein)
COG0372	GltA	3	2.517948	0.000875	Citrate synthase
COG0376	KatG	1	0.979452	0.00034	Catalase (peroxidase I)
COG0377	NuoB	1	0.865979	0.000301	NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases
COG0379	NadA	1	0.972222	0.000338	Quinolinate synthase
COG0382	UbiA	2	1.958477	0.000681	4-hydroxybenzoate polyprenyltransferase and related prenyltransferases
COG0383	AMS1	1	0.78579	0.000273	Alpha-mannosidase
COG0384	COG0384	4	3.0378	0.001056	Predicted epimerase, PhzC/PhzF homolog
COG0388	COG0388	2	1.883211	0.000654	Predicted amidohydrolase
COG0389	DinP	2	1.974576	0.000686	Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0393	COG0393	1	0.981481	0.000341	Uncharacterized conserved protein
COG0394	Wzb	1	0.985611	0.000342	Protein-tyrosine-phosphatase
COG0395	UgpE	22	21.231316	0.007383	ABC-type sugar transport system, permease component
COG0396	sufC	1	0.980079	0.00034	Cysteine desulfurase activator ATPase
COG0397	COG0397	1	0.895491	0.000311	Uncharacterized conserved protein
COG0398	COG0398	2	1.726457	0.0006	Uncharacterized conserved protein
COG0399	WecE	2	1.737967	0.000604	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis
COG0402	SsnA	3	2.919239	0.001015	Cytosine deaminase and related metal-dependent hydrolases
COG0403	GcvP	1	0.988888	0.000343	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain
COG0404	GcvT	7	6.846965	0.002381	Glycine cleavage system T protein (aminomethyltransferase)
COG0405	Ggt	2	1.959183	0.000681	Gamma-glutamyltransferase
COG0406	phoE	3	2.567307	0.000892	Broad specificity phosphatase PhoE and related phosphatases
COG0407	HemE	1	0.980113	0.00034	Uroporphyrinogen-III decarboxylase
COG0408	HemF	1	0.917491	0.000319	Coproporphyrinogen III oxidase
COG0410	LivF	5	4.92827	0.001713	ABC-type branched-chain amino acid transport systems, ATPase component
COG0411	LivG	5	4.944	0.001719	ABC-type branched-chain amino acid transport systems, ATPase component
COG0412	COG0412	1	0.576271	0.0002	Dienelactone hydrolase and related enzymes
COG0413	PanB	1	0.981343	0.000341	Ketopantoate hydroxymethyltransferase
COG0414	PanC	1	0.992982	0.000345	Panthothenate synthetase
COG0415	PhrB	1	0.99783	0.000347	Deoxyribodipyrimidine photolyase
COG0416	PlsX	1	0.991124	0.000344	Fatty acid/phospholipid biosynthesis enzyme
COG0418	PyrC	1	0.997093	0.000346	Dihydroorotase
COG0419	SbcC	1	0.457048	0.000158	ATPase involved in DNA repair
COG0424	Maf	2	1.782383	0.000619	Nucleotide-binding protein implicated in inhibition of septum formation
COG0425	SirA	1	0.923076	0.000321	Predicted redox protein, regulator of disulfide bond formation
COG0431	COG0431	5	3.244565	0.001128	Predicted flavoprotein
COG0432	COG0432	1	0.970802	0.000337	Uncharacterized conserved protein
