"Accession","Name","Description","cog_SampleX_bin.001","cog_SampleX_bin.002","cog_SampleX_bin.003"
"COG0086","RpoC","DNA-directed RNA polymerase, beta' subunit/160 kD subunit",2,2,4
"COG0087","RplC","Ribosomal protein L3",1,1,2
"COG0088","RplD","Ribosomal protein L4",1,1,2
"COG0089","RplW","Ribosomal protein L23",1,1,2
"COG0090","RplB","Ribosomal protein L2",1,1,2
"COG0091","RplV","Ribosomal protein L22",1,1,2
"COG0092","RpsC","Ribosomal protein S3",1,1,2
"COG0093","RplN","Ribosomal protein L14",1,1,2
"COG0094","RplE","Ribosomal protein L5",1,1,2
"COG0095","LplA","Lipoate-protein ligase A",2,0,0
"COG0096","RpsH","Ribosomal protein S8",1,1,2
"COG0097","RplF","Ribosomal protein L6P/L9E",1,1,2
"COG0098","RpsE","Ribosomal protein S5",1,1,2
"COG0099","RpsM","Ribosomal protein S13",1,1,1
"COG0100","RpsK","Ribosomal protein S11",1,1,1
"COG0101","TruA","Pseudouridylate synthase",2,1,1
"COG0102","RplM","Ribosomal protein L13",1,1,1
"COG0103","RpsI","Ribosomal protein S9",1,1,1
"COG0104","PurA","Adenylosuccinate synthase",1,1,1
"COG0106","HisA","Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase",2,1,1
"COG0107","HisF","Imidazoleglycerol-phosphate synthase",2,1,1
"COG0108","RibB","3,4-dihydroxy-2-butanone 4-phosphate synthase",1,1,0
"COG0110","WbbJ","Acetyltransferase (isoleucine patch superfamily)",5,3,1
"COG0111","SerA","Phosphoglycerate dehydrogenase and related dehydrogenases",5,1,1
"COG0112","GlyA","Glycine/serine hydroxymethyltransferase",2,1,1
"COG0114","FumC","Fumarase",1,0,0
"COG0115","IlvE","Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase",2,1,1
"COG0116","COG0116","Predicted N6-adenine-specific DNA methylase",1,1,0
"COG0117","RibD","Pyrimidine deaminase",1,1,0
"COG0118","HisH","Glutamine amidotransferase",1,1,1
"COG0119","LeuA","Isopropylmalate/homocitrate/citramalate synthases",1,2,0
"COG0120","RpiA","Ribose 5-phosphate isomerase",1,0,0
"COG0122","AlkA","3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase",1,1,2
"COG0124","HisS","Histidyl-tRNA synthetase",1,1,1
"COG0125","Tmk","Thymidylate kinase",1,1,1
"COG0126","Pgk","3-phosphoglycerate kinase",1,1,1
"COG0127","COG0127","Xanthosine triphosphate pyrophosphatase",1,1,1
"COG0128","AroA","5-enolpyruvylshikimate-3-phosphate synthase",1,1,1
"COG0129","IlvD","Dihydroxyacid dehydratase/phosphogluconate dehydratase",4,1,1
"COG0130","TruB","Pseudouridine synthase",1,1,1
"COG0131","HisB","Imidazoleglycerol-phosphate dehydratase",1,1,1
"COG0133","TrpB","Tryptophan synthase beta chain",2,1,1
"COG0134","TrpC","Indole-3-glycerol phosphate synthase",1,1,1
"COG0135","TrpF","Phosphoribosylanthranilate isomerase",1,1,2
"COG0136","Asd","Aspartate-semialdehyde dehydrogenase",1,1,1
"COG0137","ArgG","Argininosuccinate synthase",1,1,1
"COG0138","PurH","AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)",2,2,3
"COG0139","HisI","Phosphoribosyl-AMP cyclohydrolase",1,1,1
"COG0140","HisI","Phosphoribosyl-ATP pyrophosphohydrolase",1,1,1
"COG0141","HisD","Histidinol dehydrogenase",2,1,1
"COG0142","IspA","Geranylgeranyl pyrophosphate synthase",1,1,1
"COG0143","MetG","Methionyl-tRNA synthetase",1,1,1
"COG0144","Sun","tRNA and rRNA cytosine-C5-methylases",2,2,2
"COG0145","HyuA","N-methylhydantoinase A/acetone carboxylase, beta subunit",3,0,0
"COG0146","HyuB","N-methylhydantoinase B/acetone carboxylase, alpha subunit",1,0,0
"COG0147","TrpE","Anthranilate/para-aminobenzoate synthases component I",1,1,1
"COG0148","Eno","Enolase",2,2,2
"COG0149","TpiA","Triosephosphate isomerase",3,1,1
"COG0150","PurM","Phosphoribosylaminoimidazole (AIR) synthetase",1,1,1
"COG0151","PurD","Phosphoribosylamine-glycine ligase",1,1,2
"COG0152","PurC","Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase",1,1,1
"COG0153","GalK","Galactokinase",1,1,1
"COG0154","GatA","Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases",1,1,0
"COG0157","NadC","Nicotinate-nucleotide pyrophosphorylase",1,1,1
"COG0159","TrpA","Tryptophan synthase alpha chain",1,1,1
"COG0162","TyrS","Tyrosyl-tRNA synthetase",2,1,2
"COG0163","UbiX","3-polyprenyl-4-hydroxybenzoate decarboxylase",2,1,1
"COG0164","RnhB","Ribonuclease HII",1,1,1
"COG0165","ArgH","Argininosuccinate lyase",3,1,2
"COG0166","Pgi","Glucose-6-phosphate isomerase",1,1,1
"COG0167","PyrD","Dihydroorotate dehydrogenase",2,1,2
"COG0168","TrkG","Trk-type K+ transport systems, membrane components",4,1,4
"COG0169","AroE","Shikimate 5-dehydrogenase",1,1,1
"COG0171","NadE","NAD synthase",1,1,1
"COG0172","SerS","Seryl-tRNA synthetase",1,1,1
"COG0173","AspS","Aspartyl-tRNA synthetase",1,2,1
"COG0174","GlnA","Glutamine synthetase",1,0,0
"COG0176","MipB","Transaldolase",1,0,0
"COG0177","Nth","Predicted EndoIII-related endonuclease",2,1,1
"COG0178","UvrA","Excinuclease ATPase subunit",2,1,2
"COG0179","MhpD","2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",1,0,0
"COG0180","TrpS","Tryptophanyl-tRNA synthetase",1,1,1
"COG0181","HemC","Porphobilinogen deaminase",1,1,0
"COG0182","COG0182","Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family",1,0,0
"COG0183","PaaJ","Acetyl-CoA acetyltransferase",3,0,0
"COG0184","RpsO","Ribosomal protein S15P/S13E",1,1,1
"COG0185","RpsS","Ribosomal protein S19",1,1,2
"COG0186","RpsQ","Ribosomal protein S17",1,1,2
"COG0187","GyrB","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit",4,2,3
"COG0188","GyrA","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",2,2,3
"COG0190","FolD","5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",2,1,1
"COG0191","Fba","Fructose/tagatose bisphosphate aldolase",14,1,1
"COG0192","MetK","S-adenosylmethionine synthetase",2,1,1
"COG0193","Pth","Peptidyl-tRNA hydrolase",1,1,0
"COG0194","Gmk","Guanylate kinase",2,1,1
"COG0195","NusA","Transcription elongation factor",1,1,1
"COG0196","RibF","FAD synthase",1,1,1
"COG0197","RplP","Ribosomal protein L16/L10E",1,1,2
"COG0198","RplX","Ribosomal protein L24",1,1,2
"COG0199","RpsN","Ribosomal protein S14",1,1,2
"COG0200","RplO","Ribosomal protein L15",1,1,2
"COG0201","SecY","Preprotein translocase subunit SecY",1,1,2
"COG0202","RpoA","DNA-directed RNA polymerase, alpha subunit/40 kD subunit",1,1,1
"COG0203","RplQ","Ribosomal protein L17",1,1,1
"COG0204","PlsC","1-acyl-sn-glycerol-3-phosphate acyltransferase",2,1,1
"COG0205","PfkA","6-phosphofructokinase",8,2,5
"COG0206","FtsZ","Cell division GTPase",1,1,1
"COG0207","ThyA","Thymidylate synthase",1,0,1
"COG0208","NrdF","Ribonucleotide reductase, beta subunit",1,0,0
"COG0209","NrdA","Ribonucleotide reductase, alpha subunit",1,0,0
"COG0210","UvrD","Superfamily I DNA and RNA helicases",3,2,1
"COG0211","RpmA","Ribosomal protein L27",1,1,1
"COG0212","COG0212","5-formyltetrahydrofolate cyclo-ligase",1,1,1
"COG0213","DeoA","Thymidine phosphorylase",1,0,1
"COG0215","CysS","Cysteinyl-tRNA synthetase",1,1,1
"COG0216","PrfA","Protein chain release factor A",1,1,1
"COG0218","COG0218","Predicted GTPase",1,1,1
"COG0219","CspR","Predicted rRNA methylase (SpoU class)",1,1,2
"COG0220","COG0220","Predicted S-adenosylmethionine-dependent methyltransferase",1,1,2
"COG0222","RplL","Ribosomal protein L7/L12",1,1,1
"COG0223","Fmt","Methionyl-tRNA formyltransferase",2,1,1
"COG0224","AtpG","F0F1-type ATP synthase, gamma subunit",1,0,1
"COG0225","MsrA","Peptide methionine sulfoxide reductase",1,0,1
"COG0226","PstS","ABC-type phosphate transport system, periplasmic component",2,2,1
"COG0227","RpmB","Ribosomal protein L28",1,1,1
"COG0228","RpsP","Ribosomal protein S16",1,1,2
"COG0229","COG0229","Conserved domain frequently associated with peptide methionine sulfoxide reductase",1,0,0
"COG0231","Efp","Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)",1,1,2
"COG0232","Dgt","dGTP triphosphohydrolase",2,1,2
"COG0233","Frr","Ribosome recycling factor",1,1,1
"COG0234","GroS","Co-chaperonin GroES (HSP10)",1,1,1
"COG0235","AraD","Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",13,0,0
"COG0236","AcpP","Acyl carrier protein",4,1,2
"COG0237","CoaE","Dephospho-CoA kinase",1,1,1
"COG0238","RpsR","Ribosomal protein S18",1,1,1
"COG0240","GpsA","Glycerol-3-phosphate dehydrogenase",1,1,2
"COG0241","HisB","Histidinol phosphatase and related phosphatases",1,0,1
"COG0242","Def","N-formylmethionyl-tRNA deformylase",2,2,2
"COG0243","BisC","Anaerobic dehydrogenases, typically selenocysteine-containing",2,0,0
"COG0244","RplJ","Ribosomal protein L10",1,1,2
"COG0245","IspF","2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",1,1,1
"COG0246","MtlD","Mannitol-1-phosphate/altronate dehydrogenases",3,0,0
"COG0248","GppA","Exopolyphosphatase",1,0,0
"COG0249","MutS","Mismatch repair ATPase (MutS family)",1,2,1
"COG0250","NusG","Transcription antiterminator",1,1,3
"COG0251","TdcF","Putative translation initiation inhibitor, yjgF family",7,1,2
"COG0252","AnsB","L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D",1,1,1
"COG0253","DapF","Diaminopimelate epimerase",2,1,1
"COG0254","RpmE","Ribosomal protein L31",1,1,1
"COG0255","RpmC","Ribosomal protein L29",1,1,2
"COG0256","RplR","Ribosomal protein L18",1,1,2
"COG0258","Exo","5'-3' exonuclease (including N-terminal domain of PolI)",2,1,1
"COG0261","RplU","Ribosomal protein L21",1,1,1
"COG0262","FolA","Dihydrofolate reductase",2,0,1
"COG0263","ProB","Glutamate 5-kinase",1,1,1
"COG0264","Tsf","Translation elongation factor Ts",1,1,1
"COG0265","DegQ","Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",4,3,1
"COG0267","RpmG","Ribosomal protein L33",1,1,3
"COG0268","RpsT","Ribosomal protein S20",1,1,1
"COG0272","Lig","NAD-dependent DNA ligase (contains BRCT domain type II)",1,1,1
"COG0274","DeoC","Deoxyribose-phosphate aldolase",3,0,1
"COG0275","COG0275","Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis",2,1,2
"COG0277","GlcD","FAD/FMN-containing dehydrogenases",2,0,0
"COG0279","GmhA","Phosphoheptose isomerase",1,0,0
"COG0280","Pta","Phosphotransacetylase",3,0,0
"COG0281","SfcA","Malic enzyme",3,1,1
"COG0282","ackA","Acetate kinase",2,1,3
"COG0283","Cmk","Cytidylate kinase",1,1,2
"COG0284","PyrF","Orotidine-5'-phosphate decarboxylase",1,1,1
"COG0285","FolC","Folylpolyglutamate synthase",2,1,2
"COG0286","HsdM","Type I restriction-modification system methyltransferase subunit",2,2,0
"COG0287","TyrA","Prephenate dehydrogenase",1,1,1
"COG0289","DapB","Dihydrodipicolinate reductase",1,1,1
"COG0290","InfC","Translation initiation factor 3 (IF-3)",1,1,1
"COG0291","RpmI","Ribosomal protein L35",1,1,1
"COG0292","RplT","Ribosomal protein L20",1,1,1
"COG0294","FolP","Dihydropteroate synthase and related enzymes",1,0,0
"COG0295","Cdd","Cytidine deaminase",1,1,1
"COG0296","GlgB","1,4-alpha-glucan branching enzyme",2,2,1
"COG0297","GlgA","Glycogen synthase",1,1,2
"COG0299","PurN","Folate-dependent phosphoribosylglycinamide formyltransferase PurN",1,1,1
"COG0300","DltE","Short-chain dehydrogenases of various substrate specificities",2,1,2
"COG0301","ThiI","Thiamine biosynthesis ATP pyrophosphatase",1,1,1
"COG0302","FolE","GTP cyclohydrolase I",1,0,0
"COG0303","MoeA","Molybdopterin biosynthesis enzyme",2,0,1
"COG0304","FabB","3-oxoacyl-(acyl-carrier-protein) synthase",1,1,1
"COG0305","DnaB","Replicative DNA helicase",1,1,1
"COG0306","PitA","Phosphate/sulphate permeases",1,0,0
"COG0307","RibC","Riboflavin synthase alpha chain",1,1,0
"COG0309","HypE","Hydrogenase maturation factor",1,0,0
"COG0313","COG0313","Predicted methyltransferases",1,1,1
"COG0315","MoaC","Molybdenum cofactor biosynthesis enzyme",1,0,1
"COG0317","SpoT","Guanosine polyphosphate pyrophosphohydrolases/synthetases",3,1,2
"COG0318","CaiC","Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II",3,0,0
"COG0319","COG0319","Predicted metal-dependent hydrolase",1,1,2
"COG0322","UvrC","Nuclease subunit of the excinuclease complex",1,1,1
"COG0323","MutL","DNA mismatch repair enzyme (predicted ATPase)",2,1,1
"COG0324","MiaA","tRNA delta(2)-isopentenylpyrophosphate transferase",1,1,1
"COG0325","COG0325","Predicted enzyme with a TIM-barrel fold",1,1,1
"COG0326","HtpG","Molecular chaperone, HSP90 family",1,1,1
"COG0327","COG0327","Uncharacterized conserved protein",2,1,2
"COG0328","RnhA","Ribonuclease HI",2,1,0
"COG0329","DapA","Dihydrodipicolinate synthase/N-acetylneuraminate lyase",10,1,1
"COG0330","HflC","Membrane protease subunits, stomatin/prohibitin homologs",4,1,1
"COG0331","FabD","(acyl-carrier-protein) S-malonyltransferase",1,1,1
"COG0332","FabH","3-oxoacyl-[acyl-carrier-protein].",2,1,1
"COG0333","RpmF","Ribosomal protein L32",1,1,2
"COG0334","GdhA","Glutamate dehydrogenase/leucine dehydrogenase",2,1,1
"COG0335","RplS","Ribosomal protein L19",1,1,2
"COG0336","TrmD","tRNA-(guanine-N1)-methyltransferase",1,1,2
"COG0337","AroB","3-dehydroquinate synthetase",1,1,1
"COG0338","Dam","Site-specific DNA methylase",2,0,0
"COG0340","BirA","Biotin-(acetyl-CoA carboxylase) ligase",1,1,1
"COG0343","Tgt","Queuine/archaeosine tRNA-ribosyltransferase",2,1,1
"COG0344","COG0344","Predicted membrane protein",1,1,2
"COG0345","ProC","Pyrroline-5-carboxylate reductase",2,1,1
"COG0346","GloA","Lactoylglutathione lyase and related lyases",5,0,0
"COG0347","GlnK","Nitrogen regulatory protein PII",1,2,0
"COG0348","NapH","Polyferredoxin",1,0,0
"COG0350","Ada","Methylated DNA-protein cysteine methyltransferase",1,1,1
"COG0351","ThiD","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase",1,1,1
"COG0352","ThiE","Thiamine monophosphate synthase",1,2,1
"COG0353","RecR","Recombinational DNA repair protein (RecF pathway)",1,1,1
"COG0355","AtpC","F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)",1,0,1
"COG0356","AtpB","F0F1-type ATP synthase, subunit a",1,0,1
"COG0357","GidB","Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division",1,1,1
"COG0358","DnaG","DNA primase (bacterial type)",1,1,1
"COG0359","RplI","Ribosomal protein L9",1,1,1
"COG0360","RpsF","Ribosomal protein S6",1,1,1
"COG0361","InfA","Translation initiation factor 1 (IF-1)",1,1,1
"COG0362","Gnd","6-phosphogluconate dehydrogenase",2,0,0
"COG0363","NagB","6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase",2,0,2
"COG0364","Zwf","Glucose-6-phosphate 1-dehydrogenase",1,0,0
"COG0366","AmyA","Glycosidases",6,10,5
"COG0367","AsnB","Asparagine synthase (glutamine-hydrolyzing)",1,2,2
"COG0368","CobS","Cobalamin-5-phosphate synthase",1,0,0
"COG0370","FeoB","Fe2+ transport system protein B",4,3,2
"COG0371","GldA","Glycerol dehydrogenase and related enzymes",7,0,0
"COG0372","GltA","Citrate synthase",2,2,2
"COG0379","NadA","Quinolinate synthase",1,1,1
"COG0383","AMS1","Alpha-mannosidase",2,0,0
"COG0384","COG0384","Predicted epimerase, PhzC/PhzF homolog",2,0,0
"COG0388","COG0388","Predicted amidohydrolase",2,2,1
"COG0389","DinP","Nucleotidyltransferase/DNA polymerase involved in DNA repair",3,1,2
"COG0392","COG0392","Predicted integral membrane protein",3,2,1
"COG0394","Wzb","Protein-tyrosine-phosphatase",1,1,0
"COG0395","UgpE","ABC-type sugar transport system, permease component",31,2,0
"COG0398","COG0398","Uncharacterized conserved protein",1,0,0
"COG0399","WecE","Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis",5,2,0
"COG0402","SsnA","Cytosine deaminase and related metal-dependent hydrolases",13,0,0
"COG0403","GcvP","Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain",3,0,0
"COG0404","GcvT","Glycine cleavage system T protein (aminomethyltransferase)",2,0,0
"COG0406","phoE","Broad specificity phosphatase PhoE and related phosphatases",5,1,7
"COG0407","HemE","Uroporphyrinogen-III decarboxylase",3,0,0
"COG0410","LivF","ABC-type branched-chain amino acid transport systems, ATPase component",7,0,0
"COG0411","LivG","ABC-type branched-chain amino acid transport systems, ATPase component",6,0,0
"COG0416","PlsX","Fatty acid/phospholipid biosynthesis enzyme",2,1,1
"COG0419","SbcC","ATPase involved in DNA repair",4,1,5
"COG0420","SbcD","DNA repair exonuclease",2,1,1
"COG0423","GRS1","Glycyl-tRNA synthetase (class II)",1,1,1
"COG0424","Maf","Nucleotide-binding protein implicated in inhibition of septum formation",1,0,1
"COG0425","SirA","Predicted redox protein, regulator of disulfide bond formation",2,1,1
"COG0426","FpaA","Uncharacterized flavoproteins",2,2,0
"COG0428","COG0428","Predicted divalent heavy-metal cations transporter",1,1,3
"COG0432","COG0432","Uncharacterized conserved protein",1,1,0
"COG0434","SgcQ","Predicted TIM-barrel enzyme",3,0,0
"COG0436","COG0436","Aspartate/tyrosine/aromatic aminotransferase",4,3,3
"COG0437","HybA","Fe-S-cluster-containing hydrogenase components 1",1,0,0
"COG0438","RfaG","Glycosyltransferase",5,3,4
"COG0439","AccC","Biotin carboxylase",2,0,1
"COG0440","IlvH","Acetolactate synthase, small (regulatory) subunit",1,1,0
"COG0441","ThrS","Threonyl-tRNA synthetase",2,1,1
"COG0442","ProS","Prolyl-tRNA synthetase",1,1,1
"COG0443","DnaK","Molecular chaperone",1,1,3
"COG0444","DppD","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",15,0,3
"COG0445","GidA","Flavin-dependent tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA",1,1,1
"COG0446","HcaD","Uncharacterized NAD(FAD)-dependent dehydrogenases",3,0,0
"COG0448","GlgC","ADP-glucose pyrophosphorylase",5,2,2
"COG0449","GlmS","Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains",1,1,2
"COG0450","AhpC","Peroxiredoxin",3,1,1
"COG0451","WcaG","Nucleoside-diphosphate-sugar epimerases",9,4,3
"COG0452","Dfp","Phosphopantothenoylcysteine synthetase/decarboxylase",2,1,1
"COG0456","RimI","Acetyltransferases",17,4,7
"COG0457","NrfG","FOG: TPR repeat",1,0,0
"COG0458","CarB","Carbamoylphosphate synthase large subunit (split gene in MJ)",4,2,4
"COG0459","GroL","Chaperonin GroEL (HSP60 family)",2,1,1
"COG0460","ThrA","Homoserine dehydrogenase",1,1,1
"COG0461","PyrE","Orotate phosphoribosyltransferase",2,1,1
"COG0462","PrsA","Phosphoribosylpyrophosphate synthetase",2,1,1
"COG0463","WcaA","Glycosyltransferases involved in cell wall biogenesis",12,7,5
"COG0465","HflB","ATP-dependent Zn proteases",4,1,2
"COG0466","Lon","ATP-dependent Lon protease, bacterial type",2,1,1
"COG0468","RecA","RecA/RadA recombinase",1,1,1
"COG0469","PykF","Pyruvate kinase",1,1,5
"COG0471","CitT","Di- and tricarboxylate transporters",6,0,0
"COG0472","Rfe","UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase",2,1,2
"COG0473","LeuB","Isocitrate/isopropylmalate dehydrogenase",1,1,2
"COG0474","MgtA","Cation transport ATPase",5,3,4
"COG0475","KefB","Kef-type K+ transport systems, membrane components",1,1,0
"COG0480","FusA","Translation elongation factors (GTPases)",2,3,3
"COG0481","LepA","Membrane GTPase LepA",2,1,1
"COG0482","TrmU","Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain",1,1,1
"COG0483","SuhB","Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family",1,0,0
"COG0484","DnaJ","DnaJ-class molecular chaperone with C-terminal Zn finger domain",1,2,3
"COG0486","ThdF","Predicted GTPase",1,1,1
"COG0488","Uup","ATPase components of ABC transporters with duplicated ATPase domains",8,2,3
"COG0489","Mrp","ATPases involved in chromosome partitioning",4,4,1
"COG0491","GloB","Zn-dependent hydrolases, including glyoxylases",8,2,1
"COG0492","TrxB","Thioredoxin reductase",5,2,2
"COG0493","GltD","NADPH-dependent glutamate synthase beta chain and related oxidoreductases",8,2,2
"COG0494","MutT","NTP pyrophosphohydrolases including oxidative damage repair enzymes",3,2,0
"COG0495","LeuS","Leucyl-tRNA synthetase",1,1,2
"COG0497","RecN","ATPase involved in DNA repair",1,1,2
"COG0498","ThrC","Threonine synthase",2,1,1
"COG0502","BioB","Biotin synthase and related enzymes",1,0,0
"COG0503","Apt","Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins",2,1,2
"COG0504","PyrG","CTP synthase (UTP-ammonia lyase)",1,1,1
"COG0505","CarA","Carbamoylphosphate synthase small subunit",1,1,1
"COG0507","RecD","ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member",1,2,1
"COG0508","AceF","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes",3,0,0
"COG0509","GcvH","Glycine cleavage system H protein (lipoate-binding)",2,0,0
"COG0510","ycfN","Thiamine kinase and related kinases",3,1,0
"COG0511","AccB","Biotin carboxyl carrier protein",1,1,1
"COG0512","PabA","Anthranilate/para-aminobenzoate synthases component II",1,1,1
"COG0513","SrmB","Superfamily II DNA and RNA helicases",3,0,2
