Accession	Name	No_orfs	Coverage	Abundance	Description
COG0139	HisI	1	0.936936	0.000466	Phosphoribosyl-AMP cyclohydrolase
COG0140	HisI	1	0.98913	0.000492	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	HisD	2	1.927058	0.000959	Histidinol dehydrogenase
COG0142	IspA	2	1.981366	0.000986	Geranylgeranyl pyrophosphate synthase
COG0143	MetG	1	0.985663	0.00049	Methionyl-tRNA synthetase
COG0144	Sun	2	1.969014	0.00098	tRNA and rRNA cytosine-C5-methylases
COG0145	HyuA	1	0.997032	0.000496	N-methylhydantoinase A/acetone carboxylase, beta subunit
COG0146	HyuB	1	0.928952	0.000462	N-methylhydantoinase B/acetone carboxylase, alpha subunit
COG0147	TrpE	2	1.761904	0.000877	Anthranilate/para-aminobenzoate synthases component I
COG0148	Eno	1	0.985815	0.00049	Enolase
COG0149	TpiA	1	0.992031	0.000494	Triosephosphate isomerase
COG0150	PurM	1	1	0.000498	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	PurD	1	0.99299	0.000494	Phosphoribosylamine-glycine ligase
COG0152	PurC	1	1	0.000498	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
COG0154	GatA	2	1.505263	0.000749	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases
COG0155	CysI	1	0.998039	0.000497	Sulfite reductase, beta subunit (hemoprotein)
COG0156	BioF	1	1	0.000498	7-keto-8-aminopelargonate synthetase and related enzymes
COG0159	TrpA	1	0.996226	0.000496	Tryptophan synthase alpha chain
COG0160	GabT	1	0.964205	0.00048	4-aminobutyrate aminotransferase and related aminotransferases
COG0161	BioA	4	3.895322	0.001939	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0162	TyrS	1	0.992518	0.000494	Tyrosyl-tRNA synthetase
COG0164	RnhB	1	0.929648	0.000462	Ribonuclease HII
COG0165	ArgH	1	0.989106	0.000492	Argininosuccinate lyase
COG0166	Pgi	1	0.959641	0.000477	Glucose-6-phosphate isomerase
COG0167	PyrD	2	1.970967	0.000981	Dihydroorotate dehydrogenase
COG0168	TrkG	2	1.801603	0.000897	Trk-type K+ transport systems, membrane components
COG0169	AroE	1	0.992932	0.000494	Shikimate 5-dehydrogenase
COG0171	NadE	1	0.981343	0.000488	NAD synthase
COG0172	SerS	2	0.988344	0.000492	Seryl-tRNA synthetase
COG0173	AspS	1	0.955555	0.000475	Aspartyl-tRNA synthetase
COG0174	GlnA	6	4.794582	0.002387	Glutamine synthetase
COG0175	CysH	3	1.896551	0.000944	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
COG0176	MipB	1	0.962343	0.000479	Transaldolase
COG0177	Nth	1	0.981042	0.000488	Predicted EndoIII-related endonuclease
COG0178	UvrA	1	0.994652	0.000495	Excinuclease ATPase subunit
COG0179	MhpD	3	1.582706	0.000788	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
COG0180	TrpS	1	0.980891	0.000488	Tryptophanyl-tRNA synthetase
COG0181	HemC	1	0.993485	0.000494	Porphobilinogen deaminase
COG0183	PaaJ	7	3.964285	0.001974	Acetyl-CoA acetyltransferase
COG0184	RpsO	1	1	0.000498	Ribosomal protein S15P/S13E
COG0185	RpsS	1	0.989247	0.000492	Ribosomal protein S19
COG0186	RpsQ	1	0.862068	0.000429	Ribosomal protein S17
COG0187	GyrB	2	1.9937	0.000992	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit
COG0188	GyrA	2	1.902985	0.000947	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit
COG0189	RimK	1	0.99371	0.000494	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)
COG0190	FolD	1	0.996466	0.000496	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	Fba	2	1.954545	0.000973	Fructose/tagatose bisphosphate aldolase
COG0192	MetK	1	0.994845	0.000495	S-adenosylmethionine synthetase
COG0193	Pth	1	0.978947	0.000487	Peptidyl-tRNA hydrolase
COG0194	Gmk	1	0.979057	0.000487	Guanylate kinase
COG0195	NusA	1	1	0.000498	Transcription elongation factor
COG0196	RibF	1	0.970394	0.000483	FAD synthase
COG0197	RplP	1	0.938356	0.000467	Ribosomal protein L16/L10E
COG0198	RplX	1	0.951923	0.000474	Ribosomal protein L24
COG0199	RpsN	1	1	0.000498	Ribosomal protein S14
COG0200	RplO	1	1	0.000498	Ribosomal protein L15
COG0201	SecY	1	0.997706	0.000496	Preprotein translocase subunit SecY
COG0202	RpoA	1	1	0.000498	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	RplQ	1	1	0.000498	Ribosomal protein L17
COG0204	PlsC	2	1.556862	0.000775	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0206	FtsZ	1	0.849112	0.000422	Cell division GTPase
COG0207	ThyA	1	0.992537	0.000494	Thymidylate synthase
COG0209	NrdA	1	0.990783	0.000493	Ribonucleotide reductase, alpha subunit
COG0210	UvrD	1	0.981679	0.000488	Superfamily I DNA and RNA helicases
COG0211	RpmA	1	0.965517	0.00048	Ribosomal protein L27
COG0212	COG0212	1	0.979057	0.000487	5-formyltetrahydrofolate cyclo-ligase
COG0213	DeoA	1	0.825287	0.000411	Thymidine phosphorylase
COG0215	CysS	1	0.984913	0.00049	Cysteinyl-tRNA synthetase
COG0216	PrfA	1	0.99449	0.000495	Protein chain release factor A
COG0217	COG0217	1	1	0.000498	Uncharacterized conserved protein
COG0218	COG0218	1	0.955	0.000475	Predicted GTPase
COG0219	CspR	1	0.96129	0.000478	Predicted rRNA methylase (SpoU class)
COG0220	COG0220	1	0.960352	0.000478	Predicted S-adenosylmethionine-dependent methyltransferase
COG0221	Ppa	1	1	0.000498	Inorganic pyrophosphatase
COG0222	RplL	1	0.991935	0.000494	Ribosomal protein L7/L12
COG0223	Fmt	1	0.990228	0.000493	Methionyl-tRNA formyltransferase
COG0224	AtpG	1	0.996515	0.000496	F0F1-type ATP synthase, gamma subunit
COG0225	MsrA	2	1.890804	0.000941	Peptide methionine sulfoxide reductase
COG0226	PstS	1	0.99371	0.000494	ABC-type phosphate transport system, periplasmic component
COG0227	RpmB	1	0.961038	0.000478	Ribosomal protein L28
COG0228	RpsP	1	0.977011	0.000486	Ribosomal protein S16
COG0229	COG0229	2	1.792857	0.000892	Conserved domain frequently associated with peptide methionine sulfoxide reductase
COG0230	RpmH	1	1	0.000498	Ribosomal protein L34
COG0231	Efp	1	0.992366	0.000494	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	Dgt	1	0.975728	0.000485	dGTP triphosphohydrolase
COG0233	Frr	1	0.962566	0.000479	Ribosome recycling factor
COG0234	GroS	1	0.979166	0.000487	Co-chaperonin GroES (HSP10)
COG0235	AraD	1	0.75799	0.000377	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
COG0236	AcpP	2	1.95	0.000971	Acyl carrier protein
COG0237	CoaE	1	0.955223	0.000475	Dephospho-CoA kinase
COG0238	RpsR	1	0.973333	0.000484	Ribosomal protein S18
COG0239	CrcB	1	0.984126	0.00049	Integral membrane protein possibly involved in chromosome condensation
COG0240	GpsA	1	0.990881	0.000493	Glycerol-3-phosphate dehydrogenase
COG0242	Def	1	1	0.000498	N-formylmethionyl-tRNA deformylase
COG0243	BisC	5	4.759477	0.00237	Anaerobic dehydrogenases, typically selenocysteine-containing
COG0244	RplJ	1	0.971428	0.000483	Ribosomal protein L10
COG0245	IspF	1	0.974842	0.000485	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0246	MtlD	1	0.997885	0.000496	Mannitol-1-phosphate/altronate dehydrogenases
COG0247	GlpC	1	0.992268	0.000494	Fe-S oxidoreductase
COG0248	GppA	2	1.595528	0.000794	Exopolyphosphatase
COG0249	MutS	2	0.97153	0.000483	Mismatch repair ATPase (MutS family)
COG0250	NusG	1	0.988764	0.000492	Transcription antiterminator
COG0251	TdcF	6	5.630769	0.002804	Putative translation initiation inhibitor, yjgF family
COG0252	AnsB	1	0.903133	0.000449	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0253	DapF	1	1	0.000498	Diaminopimelate epimerase
COG0255	RpmC	1	0.942028	0.000469	Ribosomal protein L29
COG0256	RplR	1	0.968	0.000482	Ribosomal protein L18
COG0257	RpmJ	1	1	0.000498	Ribosomal protein L36
COG0258	Exo	1	0.935483	0.000465	5'-3' exonuclease (including N-terminal domain of PolI)
COG0259	PdxH	1	0.985981	0.000491	Pyridoxamine-phosphate oxidase
COG0260	PepB	2	1.624742	0.000809	Leucyl aminopeptidase
COG0261	RplU	1	0.990291	0.000493	Ribosomal protein L21
COG0262	FolA	1	0.994011	0.000495	Dihydrofolate reductase
COG0263	ProB	1	1	0.000498	Glutamate 5-kinase
COG0264	Tsf	1	0.996621	0.000496	Translation elongation factor Ts
COG0265	DegQ	7	3.190201	0.001588	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0266	Nei	1	1	0.000498	Formamidopyrimidine-DNA glycosylase
COG0268	RpsT	1	1	0.000498	Ribosomal protein S20
COG0270	Dcm	2	0.606707	0.000302	Site-specific DNA methylase
COG0271	BolA	2	1.911111	0.000951	Stress-induced morphogen (activity unknown)
COG0272	Lig	1	1	0.000498	NAD-dependent DNA ligase (contains BRCT domain type II)
COG0274	DeoC	1	0.995614	0.000495	Deoxyribose-phosphate aldolase
COG0275	COG0275	1	0.977707	0.000486	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis
COG0276	HemH	1	1	0.000498	Protoheme ferro-lyase (ferrochelatase)
COG0277	GlcD	4	3.873638	0.001929	FAD/FMN-containing dehydrogenases
COG0278	COG0278	1	0.990476	0.000493	Glutaredoxin-related protein
COG0280	Pta	2	1.978593	0.000985	Phosphotransacetylase
COG0281	SfcA	1	0.951388	0.000473	Malic enzyme
COG0283	Cmk	1	0.986486	0.000491	Cytidylate kinase
COG0284	PyrF	1	0.945833	0.000471	Orotidine-5'-phosphate decarboxylase
COG0285	FolC	1	0.974238	0.000485	Folylpolyglutamate synthase
COG0287	TyrA	1	1	0.000498	Prephenate dehydrogenase
COG0288	CynT	1	0.956521	0.000476	Carbonic anhydrase
COG0289	DapB	1	1	0.000498	Dihydrodipicolinate reductase
COG0290	InfC	1	0.755681	0.000376	Translation initiation factor 3 (IF-3)
COG0291	RpmI	1	0.984615	0.00049	Ribosomal protein L35
COG0292	RplT	1	1	0.000498	Ribosomal protein L20
COG0293	FtsJ	1	0.980487	0.000488	23S rRNA methylase
COG0294	FolP	2	0.934306	0.000465	Dihydropteroate synthase and related enzymes
COG0295	Cdd	1	0.970149	0.000483	Cytidine deaminase
COG0299	PurN	1	0.995	0.000495	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0302	FolE	1	0.994871	0.000495	GTP cyclohydrolase I
COG0303	MoeA	3	2.512376	0.001251	Molybdopterin biosynthesis enzyme
COG0304	FabB	4	3.837378	0.001911	3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	DnaB	1	0.997701	0.000496	Replicative DNA helicase
COG0307	RibC	1	0.955882	0.000476	Riboflavin synthase alpha chain
COG0308	PepN	1	0.99185	0.000493	Aminopeptidase N
COG0312	TldD	2	1.96696	0.000979	Predicted Zn-dependent proteases and their inactivated homologs
COG0313	COG0313	1	0.992727	0.000494	Predicted methyltransferases
COG0315	MoaC	1	0.987261	0.000491	Molybdenum cofactor biosynthesis enzyme
COG0316	sufA	2	1.854545	0.000923	Fe-S cluster assembly scaffold protein
COG0317	SpoT	1	0.992867	0.000494	Guanosine polyphosphate pyrophosphohydrolases/synthetases
COG0318	CaiC	5	4.85955	0.00242	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
COG0319	COG0319	1	0.980392	0.000488	Predicted metal-dependent hydrolase
COG0321	LipB	1	0.954751	0.000475	Lipoate-protein ligase B
COG0322	UvrC	1	0.996557	0.000496	Nuclease subunit of the excinuclease complex
COG0323	MutL	1	0.996865	0.000496	DNA mismatch repair enzyme (predicted ATPase)
COG0324	MiaA	1	0.75974	0.000378	tRNA delta(2)-isopentenylpyrophosphate transferase
COG0325	COG0325	1	0.986842	0.000491	Predicted enzyme with a TIM-barrel fold
COG0328	RnhA	2	1.876623	0.000934	Ribonuclease HI
COG0329	DapA	1	0.986622	0.000491	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	HflC	3	2.95189	0.00147	Membrane protease subunits, stomatin/prohibitin homologs
COG0331	FabD	1	0.993548	0.000494	(acyl-carrier-protein) S-malonyltransferase
COG0332	FabH	1	0.996904	0.000496	3-oxoacyl-[acyl-carrier-protein].
COG0333	RpmF	1	1	0.000498	Ribosomal protein L32
COG0335	RplS	1	0.973913	0.000485	Ribosomal protein L19
COG0336	TrmD	1	0.9625	0.000479	tRNA-(guanine-N1)-methyltransferase
COG0337	AroB	1	0.997222	0.000496	3-dehydroquinate synthetase
COG0339	Dcp	1	0.997071	0.000496	Zn-dependent oligopeptidases
COG0340	BirA	2	1.483193	0.000738	Biotin-(acetyl-CoA carboxylase) ligase
COG0342	SecD	3	1.241106	0.000618	Preprotein translocase subunit SecD
COG0343	Tgt	1	0.994623	0.000495	Queuine/archaeosine tRNA-ribosyltransferase
COG0344	COG0344	1	0.83	0.000413	Predicted membrane protein
COG0345	ProC	1	0.992481	0.000494	Pyrroline-5-carboxylate reductase
COG0346	GloA	4	3.942028	0.001963	Lactoylglutathione lyase and related lyases
COG0347	GlnK	1	1	0.000498	Nitrogen regulatory protein PII
COG0348	NapH	2	1.593264	0.000793	Polyferredoxin
COG0349	Rnd	2	1.556786	0.000775	Ribonuclease D
COG0350	Ada	1	0.97619	0.000486	Methylated DNA-protein cysteine methyltransferase
COG0351	ThiD	1	0.996197	0.000496	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	ThiE	2	1.900473	0.000946	Thiamine monophosphate synthase
COG0353	RecR	1	0.984848	0.00049	Recombinational DNA repair protein (RecF pathway)
COG0354	COG0354	1	0.921311	0.000458	Predicted aminomethyltransferase related to GcvT
COG0355	AtpC	1	0.992592	0.000494	F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)
COG0356	AtpB	1	0.983739	0.000489	F0F1-type ATP synthase, subunit a
COG0357	GidB	1	0.925581	0.00046	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
COG0358	DnaG	1	0.994718	0.000495	DNA primase (bacterial type)
COG0359	RplI	1	1	0.000498	Ribosomal protein L9
COG0360	RpsF	1	0.9375	0.000466	Ribosomal protein S6
COG0361	InfA	1	0.96	0.000478	Translation initiation factor 1 (IF-1)
COG0363	NagB	2	1.710084	0.000851	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0364	Zwf	1	0.997929	0.000496	Glucose-6-phosphate 1-dehydrogenase
COG0365	Acs	5	3.018939	0.001503	Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases
COG0368	CobS	1	0.963414	0.000479	Cobalamin-5-phosphate synthase
COG0372	GltA	2	1.528205	0.000761	Citrate synthase
COG0376	KatG	1	0.982191	0.000489	Catalase (peroxidase I)
COG0377	NuoB	1	0.865979	0.000431	NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases
COG0381	WecB	1	0.32637	0.000162	UDP-N-acetylglucosamine 2-epimerase
COG0382	UbiA	1	1	0.000498	4-hydroxybenzoate polyprenyltransferase and related prenyltransferases
COG0384	COG0384	1	0.996563	0.000496	Predicted epimerase, PhzC/PhzF homolog
COG0388	COG0388	3	2.667883	0.001328	Predicted amidohydrolase
COG0389	DinP	2	1.709039	0.000851	Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0394	Wzb	2	1.971223	0.000981	Protein-tyrosine-phosphatase
COG0395	UgpE	5	3.743772	0.001864	ABC-type sugar transport system, permease component
COG0396	sufC	1	0.968127	0.000482	Cysteine desulfurase activator ATPase
COG0398	COG0398	1	0.820627	0.000408	Uncharacterized conserved protein
COG0399	WecE	2	1.922459	0.000957	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis
COG0400	COG0400	1	0.338164	0.000168	Predicted esterase
COG0402	SsnA	3	2.712589	0.00135	Cytosine deaminase and related metal-dependent hydrolases
COG0403	GcvP	1	0.984444	0.00049	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain
COG0404	GcvT	9	8.868073	0.004416	Glycine cleavage system T protein (aminomethyltransferase)
COG0406	phoE	1	0.918269	0.000457	Broad specificity phosphatase PhoE and related phosphatases
COG0407	HemE	1	0.96875	0.000482	Uroporphyrinogen-III decarboxylase
COG0408	HemF	1	0.917491	0.000456	Coproporphyrinogen III oxidase
COG0410	LivF	7	6.670886	0.003322	ABC-type branched-chain amino acid transport systems, ATPase component
COG0411	LivG	8	6.295999	0.003135	ABC-type branched-chain amino acid transport systems, ATPase component
COG0413	PanB	1	0.981343	0.000488	Ketopantoate hydroxymethyltransferase
COG0414	PanC	1	0.989473	0.000492	Panthothenate synthetase
COG0415	PhrB	1	0.993492	0.000494	Deoxyribodipyrimidine photolyase
COG0416	PlsX	1	0.994082	0.000495	Fatty acid/phospholipid biosynthesis enzyme
COG0418	PyrC	1	0.997093	0.000496	Dihydroorotase
COG0424	Maf	2	1.96373	0.000977	Nucleotide-binding protein implicated in inhibition of septum formation
COG0425	SirA	1	0.948717	0.000472	Predicted redox protein, regulator of disulfide bond formation
COG0431	COG0431	2	1.831521	0.000912	Predicted flavoprotein
COG0433	COG0433	1	0.990384	0.000493	HerA helicase
COG0435	ECM4	2	1.910493	0.000951	Predicted glutathione S-transferase
COG0436	COG0436	2	1.987277	0.000989	Aspartate/tyrosine/aromatic aminotransferase
COG0437	HybA	2	1.738916	0.000866	Fe-S-cluster-containing hydrogenase components 1
COG0438	RfaG	2	1.923884	0.000958	Glycosyltransferase
COG0439	AccC	1	0.991091	0.000493	Biotin carboxylase
COG0440	IlvH	1	0.993865	0.000494	Acetolactate synthase, small (regulatory) subunit
COG0441	ThrS	1	1	0.000498	Threonyl-tRNA synthetase
COG0442	ProS	1	0.996	0.000496	Prolyl-tRNA synthetase
COG0443	DnaK	1	0.994818	0.000495	Molecular chaperone
COG0444	DppD	1	0.996835	0.000496	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
