Name	Description	Accession	cog_table	EG18NEC_Bin13	EG18NEC_Bin8	EG18NEC_Bin12	EG18NEC_Bin13	EG18NEC_Bin8
TufB	GTPases - translation elongation factors	COG0050	GTPases - translation elongation factors	0	1	2	0	1
RpsJ	Ribosomal protein S10	COG0051	Ribosomal protein S10	1	1	1	1	1
RpsB	Ribosomal protein S2	COG0052	Ribosomal protein S2	1	1	1	1	1
RibH	Riboflavin synthase beta-chain	COG0054	Riboflavin synthase beta-chain	1	1	1	1	1
AtpD	F0F1-type ATP synthase, beta subunit	COG0055	F0F1-type ATP synthase, beta subunit	1	1	1	1	1
AtpA	F0F1-type ATP synthase, alpha subunit	COG0056	F0F1-type ATP synthase, alpha subunit	1	1	1	1	1
GapA	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	1	1	1	1	1
IlvC	Ketol-acid reductoisomerase	COG0059	Ketol-acid reductoisomerase	1	1	1	1	1
IleS	Isoleucyl-tRNA synthetase	COG0060	Isoleucyl-tRNA synthetase	1	2	1	1	2
nadF	NAD kinase	COG0061	NAD kinase	1	1	1	1	1
COG0062	Uncharacterized conserved protein	COG0062	Uncharacterized conserved protein	0	0	1	0	0
COG0063	Predicted sugar kinase	COG0063	Predicted sugar kinase	0	0	1	0	0
GatB	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	1	1	1	1	1
LeuC	3-isopropylmalate dehydratase large subunit	COG0065	3-isopropylmalate dehydratase large subunit	2	1	1	2	1
GltB	Glutamate synthase domain 1	COG0067	Glutamate synthase domain 1	1	3	1	1	3
GltB	Glutamate synthase domain 2	COG0069	Glutamate synthase domain 2	1	4	3	1	4
GltB	Glutamate synthase domain 3	COG0070	Glutamate synthase domain 3	1	3	1	1	3
IbpA	Molecular chaperone (small heat shock protein)	COG0071	Molecular chaperone (small heat shock protein)	1	1	3	1	1
PheT	Phenylalanyl-tRNA synthetase beta subunit	COG0072	Phenylalanyl-tRNA synthetase beta subunit	1	1	1	1	1
ARC1	EMAP domain	COG0073	EMAP domain	2	2	2	2	2
SucD	Succinyl-CoA synthetase, alpha subunit	COG0074	Succinyl-CoA synthetase, alpha subunit	1	1	1	1	1
COG0075	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	COG0075	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	1	2	1	1	2
GadB	Glutamate decarboxylase and related PLP-dependent proteins	COG0076	Glutamate decarboxylase and related PLP-dependent proteins	0	0	1	0	0
PheA	Prephenate dehydratase	COG0077	Prephenate dehydratase	1	2	1	1	2
ArgF	Ornithine carbamoyltransferase	COG0078	Ornithine carbamoyltransferase	1	1	1	1	1
HisC	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	COG0079	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	4	3	2	4	3
RplK	Ribosomal protein L11	COG0080	Ribosomal protein L11	1	1	1	1	1
RplA	Ribosomal protein L1	COG0081	Ribosomal protein L1	1	1	1	1	1
AroC	Chorismate synthase	COG0082	Chorismate synthase	1	1	1	1	1
TatD	Mg-dependent DNase	COG0084	Mg-dependent DNase	1	1	1	1	1
RpoB	DNA-directed RNA polymerase, beta subunit/140 kD subunit	COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	1	2	1	1	2
RpoC	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	2	3	2	2	3
RplC	Ribosomal protein L3	COG0087	Ribosomal protein L3	1	1	1	1	1
RplD	Ribosomal protein L4	COG0088	Ribosomal protein L4	1	1	1	1	1
RplW	Ribosomal protein L23	COG0089	Ribosomal protein L23	1	1	1	1	1
RplB	Ribosomal protein L2	COG0090	Ribosomal protein L2	1	1	1	1	1
RplV	Ribosomal protein L22	COG0091	Ribosomal protein L22	1	1	1	1	1
RpsC	Ribosomal protein S3	COG0092	Ribosomal protein S3	1	1	2	1	1
RplN	Ribosomal protein L14	COG0093	Ribosomal protein L14	1	1	1	1	1
RplE	Ribosomal protein L5	COG0094	Ribosomal protein L5	1	1	1	1	1
RpsH	Ribosomal protein S8	COG0096	Ribosomal protein S8	1	1	1	1	1
RplF	Ribosomal protein L6P/L9E	COG0097	Ribosomal protein L6P/L9E	1	1	1	1	1
RpsE	Ribosomal protein S5	COG0098	Ribosomal protein S5	1	1	1	1	1
RpsM	Ribosomal protein S13	COG0099	Ribosomal protein S13	1	1	1	1	1
RpsK	Ribosomal protein S11	COG0100	Ribosomal protein S11	1	2	1	1	2
TruA	Pseudouridylate synthase	COG0101	Pseudouridylate synthase	1	1	1	1	1
RplM	Ribosomal protein L13	COG0102	Ribosomal protein L13	1	1	1	1	1
RpsI	Ribosomal protein S9	COG0103	Ribosomal protein S9	1	1	1	1	1
PurA	Adenylosuccinate synthase	COG0104	Adenylosuccinate synthase	1	1	1	1	1
Ndk	Nucleoside diphosphate kinase	COG0105	Nucleoside diphosphate kinase	1	0	1	1	0
HisA	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	1	1	1	1	1
HisF	Imidazoleglycerol-phosphate synthase	COG0107	Imidazoleglycerol-phosphate synthase	1	1	1	1	1
RibB	3,4-dihydroxy-2-butanone 4-phosphate synthase	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	1	1	1	1	1
CyoE	Polyprenyltransferase (cytochrome oxidase assembly factor)	COG0109	Polyprenyltransferase (cytochrome oxidase assembly factor)	1	1	1	1	1
WbbJ	Acetyltransferase (isoleucine patch superfamily)	COG0110	Acetyltransferase (isoleucine patch superfamily)	2	0	3	2	0
SerA	Phosphoglycerate dehydrogenase and related dehydrogenases	COG0111	Phosphoglycerate dehydrogenase and related dehydrogenases	3	3	4	3	3
GlyA	Glycine/serine hydroxymethyltransferase	COG0112	Glycine/serine hydroxymethyltransferase	1	1	1	1	1
HemB	Delta-aminolevulinic acid dehydratase	COG0113	Delta-aminolevulinic acid dehydratase	1	2	2	1	2
FumC	Fumarase	COG0114	Fumarase	0	0	1	0	0
IlvE	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	2	3	2	2	3
RibD	Pyrimidine deaminase	COG0117	Pyrimidine deaminase	1	1	1	1	1
HisH	Glutamine amidotransferase	COG0118	Glutamine amidotransferase	1	1	1	1	1
LeuA	Isopropylmalate/homocitrate/citramalate synthases	COG0119	Isopropylmalate/homocitrate/citramalate synthases	2	3	3	2	3
RpiA	Ribose 5-phosphate isomerase	COG0120	Ribose 5-phosphate isomerase	1	1	1	1	1
AlkA	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	1	1	1	1	1
AcuC	Deacetylases, including yeast histone deacetylase and acetoin utilization protein	COG0123	Deacetylases, including yeast histone deacetylase and acetoin utilization protein	1	2	1	1	2
HisS	Histidyl-tRNA synthetase	COG0124	Histidyl-tRNA synthetase	1	1	2	1	1
Tmk	Thymidylate kinase	COG0125	Thymidylate kinase	1	1	1	1	1
Pgk	3-phosphoglycerate kinase	COG0126	3-phosphoglycerate kinase	1	2	1	1	2
COG0127	Xanthosine triphosphate pyrophosphatase	COG0127	Xanthosine triphosphate pyrophosphatase	1	1	1	1	1
AroA	5-enolpyruvylshikimate-3-phosphate synthase	COG0128	5-enolpyruvylshikimate-3-phosphate synthase	1	1	1	1	1
IlvD	Dihydroxyacid dehydratase/phosphogluconate dehydratase	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	3	3	3	3	3
TruB	Pseudouridine synthase	COG0130	Pseudouridine synthase	1	1	1	1	1
HisB	Imidazoleglycerol-phosphate dehydratase	COG0131	Imidazoleglycerol-phosphate dehydratase	1	1	1	1	1
TrpB	Tryptophan synthase beta chain	COG0133	Tryptophan synthase beta chain	1	1	1	1	1
TrpC	Indole-3-glycerol phosphate synthase	COG0134	Indole-3-glycerol phosphate synthase	1	1	1	1	1
TrpF	Phosphoribosylanthranilate isomerase	COG0135	Phosphoribosylanthranilate isomerase	1	1	1	1	1
Asd	Aspartate-semialdehyde dehydrogenase	COG0136	Aspartate-semialdehyde dehydrogenase	1	1	1	1	1
ArgG	Argininosuccinate synthase	COG0137	Argininosuccinate synthase	1	1	1	1	1
PurH	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)	COG0138	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)	2	2	2	2	2
HisI	Phosphoribosyl-AMP cyclohydrolase	COG0139	Phosphoribosyl-AMP cyclohydrolase	1	1	1	1	1
HisI	Phosphoribosyl-ATP pyrophosphohydrolase	COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	1	1	1	1	1
HisD	Histidinol dehydrogenase	COG0141	Histidinol dehydrogenase	3	2	3	3	2
IspA	Geranylgeranyl pyrophosphate synthase	COG0142	Geranylgeranyl pyrophosphate synthase	2	2	2	2	2
MetG	Methionyl-tRNA synthetase	COG0143	Methionyl-tRNA synthetase	1	1	1	1	1
Sun	tRNA and rRNA cytosine-C5-methylases	COG0144	tRNA and rRNA cytosine-C5-methylases	2	2	2	2	2
TrpE	Anthranilate/para-aminobenzoate synthases component I	COG0147	Anthranilate/para-aminobenzoate synthases component I	1	2	2	1	2
Eno	Enolase	COG0148	Enolase	1	1	1	1	1
TpiA	Triosephosphate isomerase	COG0149	Triosephosphate isomerase	1	1	2	1	1
PurM	Phosphoribosylaminoimidazole (AIR) synthetase	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	1	1	1	1	1
PurD	Phosphoribosylamine-glycine ligase	COG0151	Phosphoribosylamine-glycine ligase	1	1	1	1	1
PurC	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase	COG0152	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase	1	1	1	1	1
GatA	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases	2	2	3	2	2
CysI	Sulfite reductase, beta subunit (hemoprotein)	COG0155	Sulfite reductase, beta subunit (hemoprotein)	1	1	2	1	1
BioF	7-keto-8-aminopelargonate synthetase and related enzymes	COG0156	7-keto-8-aminopelargonate synthetase and related enzymes	1	1	5	1	1
NadC	Nicotinate-nucleotide pyrophosphorylase	COG0157	Nicotinate-nucleotide pyrophosphorylase	1	0	1	1	0
TrpA	Tryptophan synthase alpha chain	COG0159	Tryptophan synthase alpha chain	1	1	1	1	1
BioA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	4	4	3	4	4
TyrS	Tyrosyl-tRNA synthetase	COG0162	Tyrosyl-tRNA synthetase	1	1	1	1	1
RnhB	Ribonuclease HII	COG0164	Ribonuclease HII	1	1	1	1	1
ArgH	Argininosuccinate lyase	COG0165	Argininosuccinate lyase	1	1	2	1	1
Pgi	Glucose-6-phosphate isomerase	COG0166	Glucose-6-phosphate isomerase	1	1	1	1	1
PyrD	Dihydroorotate dehydrogenase	COG0167	Dihydroorotate dehydrogenase	2	2	2	2	2
TrkG	Trk-type K+ transport systems, membrane components	COG0168	Trk-type K+ transport systems, membrane components	2	2	2	2	2
AroE	Shikimate 5-dehydrogenase	COG0169	Shikimate 5-dehydrogenase	1	1	1	1	1
NadE	NAD synthase	COG0171	NAD synthase	1	1	1	1	1
SerS	Seryl-tRNA synthetase	COG0172	Seryl-tRNA synthetase	1	2	1	1	2
AspS	Aspartyl-tRNA synthetase	COG0173	Aspartyl-tRNA synthetase	1	1	1	1	1
GlnA	Glutamine synthetase	COG0174	Glutamine synthetase	4	6	2	4	6
CysH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes	1	3	3	1	3
MipB	Transaldolase	COG0176	Transaldolase	1	1	1	1	1
Nth	Predicted EndoIII-related endonuclease	COG0177	Predicted EndoIII-related endonuclease	1	1	1	1	1
UvrA	Excinuclease ATPase subunit	COG0178	Excinuclease ATPase subunit	1	1	1	1	1
MhpD	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	3	3	4	3	3
TrpS	Tryptophanyl-tRNA synthetase	COG0180	Tryptophanyl-tRNA synthetase	1	1	1	1	1
HemC	Porphobilinogen deaminase	COG0181	Porphobilinogen deaminase	1	1	1	1	1
COG0182	Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	COG0182	Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	0	0	1	0	0
PaaJ	Acetyl-CoA acetyltransferase	COG0183	Acetyl-CoA acetyltransferase	5	7	4	5	7
RpsO	Ribosomal protein S15P/S13E	COG0184	Ribosomal protein S15P/S13E	1	1	1	1	1
RpsS	Ribosomal protein S19	COG0185	Ribosomal protein S19	1	1	1	1	1
RpsQ	Ribosomal protein S17	COG0186	Ribosomal protein S17	1	1	1	1	1
GyrB	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	COG0187	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	2	2	3	2	2
GyrA	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	COG0188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	2	2	2	2	2
RimK	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)	COG0189	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)	1	1	2	1	1
FolD	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	1	1	1	1	1
Fba	Fructose/tagatose bisphosphate aldolase	COG0191	Fructose/tagatose bisphosphate aldolase	1	2	2	1	2
MetK	S-adenosylmethionine synthetase	COG0192	S-adenosylmethionine synthetase	1	1	1	1	1
Pth	Peptidyl-tRNA hydrolase	COG0193	Peptidyl-tRNA hydrolase	1	1	1	1	1
NusA	Transcription elongation factor	COG0195	Transcription elongation factor	1	1	1	1	1
RibF	FAD synthase	COG0196	FAD synthase	1	1	1	1	1
RplP	Ribosomal protein L16/L10E	COG0197	Ribosomal protein L16/L10E	1	1	1	1	1
RplX	Ribosomal protein L24	COG0198	Ribosomal protein L24	1	1	1	1	1
RpsN	Ribosomal protein S14	COG0199	Ribosomal protein S14	1	1	1	1	1
RplO	Ribosomal protein L15	COG0200	Ribosomal protein L15	1	1	1	1	1
SecY	Preprotein translocase subunit SecY	COG0201	Preprotein translocase subunit SecY	1	1	1	1	1
RpoA	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	1	1	1	1	1
RplQ	Ribosomal protein L17	COG0203	Ribosomal protein L17	1	1	1	1	1
PlsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	2	2	3	2	2
FtsZ	Cell division GTPase	COG0206	Cell division GTPase	1	1	1	1	1
ThyA	Thymidylate synthase	COG0207	Thymidylate synthase	1	1	1	1	1
NrdA	Ribonucleotide reductase, alpha subunit	COG0209	Ribonucleotide reductase, alpha subunit	1	1	1	1	1
UvrD	Superfamily I DNA and RNA helicases	COG0210	Superfamily I DNA and RNA helicases	2	1	1	2	1
RpmA	Ribosomal protein L27	COG0211	Ribosomal protein L27	1	1	1	1	1
COG0212	5-formyltetrahydrofolate cyclo-ligase	COG0212	5-formyltetrahydrofolate cyclo-ligase	1	1	1	1	1
DeoA	Thymidine phosphorylase	COG0213	Thymidine phosphorylase	1	1	1	1	1
CysS	Cysteinyl-tRNA synthetase	COG0215	Cysteinyl-tRNA synthetase	1	1	1	1	1
PrfA	Protein chain release factor A	COG0216	Protein chain release factor A	1	1	1	1	1
COG0217	Uncharacterized conserved protein	COG0217	Uncharacterized conserved protein	1	1	1	1	1
COG0218	Predicted GTPase	COG0218	Predicted GTPase	1	1	2	1	1
CspR	Predicted rRNA methylase (SpoU class)	COG0219	Predicted rRNA methylase (SpoU class)	0	1	1	0	1
COG0220	Predicted S-adenosylmethionine-dependent methyltransferase	COG0220	Predicted S-adenosylmethionine-dependent methyltransferase	1	1	1	1	1
Ppa	Inorganic pyrophosphatase	COG0221	Inorganic pyrophosphatase	1	1	1	1	1
RplL	Ribosomal protein L7/L12	COG0222	Ribosomal protein L7/L12	1	1	1	1	1
Fmt	Methionyl-tRNA formyltransferase	COG0223	Methionyl-tRNA formyltransferase	1	1	2	1	1
AtpG	F0F1-type ATP synthase, gamma subunit	COG0224	F0F1-type ATP synthase, gamma subunit	1	1	1	1	1
MsrA	Peptide methionine sulfoxide reductase	COG0225	Peptide methionine sulfoxide reductase	2	2	2	2	2
PstS	ABC-type phosphate transport system, periplasmic component	COG0226	ABC-type phosphate transport system, periplasmic component	1	1	1	1	1
RpmB	Ribosomal protein L28	COG0227	Ribosomal protein L28	1	1	1	1	1
RpsP	Ribosomal protein S16	COG0228	Ribosomal protein S16	1	1	1	1	1
COG0229	Conserved domain frequently associated with peptide methionine sulfoxide reductase	COG0229	Conserved domain frequently associated with peptide methionine sulfoxide reductase	2	2	2	2	2
Efp	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	1	1	1	1	1
Dgt	dGTP triphosphohydrolase	COG0232	dGTP triphosphohydrolase	1	1	1	1	1
Frr	Ribosome recycling factor	COG0233	Ribosome recycling factor	1	1	1	1	1
GroS	Co-chaperonin GroES (HSP10)	COG0234	Co-chaperonin GroES (HSP10)	1	1	1	1	1
AraD	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	COG0235	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	0	1	1	0	1
AcpP	Acyl carrier protein	COG0236	Acyl carrier protein	2	2	2	2	2
CoaE	Dephospho-CoA kinase	COG0237	Dephospho-CoA kinase	1	1	1	1	1
RpsR	Ribosomal protein S18	COG0238	Ribosomal protein S18	1	1	1	1	1
CrcB	Integral membrane protein possibly involved in chromosome condensation	COG0239	Integral membrane protein possibly involved in chromosome condensation	1	1	1	1	1
GpsA	Glycerol-3-phosphate dehydrogenase	COG0240	Glycerol-3-phosphate dehydrogenase	1	1	1	1	1
Def	N-formylmethionyl-tRNA deformylase	COG0242	N-formylmethionyl-tRNA deformylase	1	1	1	1	1
BisC	Anaerobic dehydrogenases, typically selenocysteine-containing	COG0243	Anaerobic dehydrogenases, typically selenocysteine-containing	2	5	3	2	5
RplJ	Ribosomal protein L10	COG0244	Ribosomal protein L10	1	1	1	1	1
IspF	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	1	1	1	1	1
MtlD	Mannitol-1-phosphate/altronate dehydrogenases	COG0246	Mannitol-1-phosphate/altronate dehydrogenases	1	1	3	1	1
GlpC	Fe-S oxidoreductase	COG0247	Fe-S oxidoreductase	1	1	2	1	1
GppA	Exopolyphosphatase	COG0248	Exopolyphosphatase	2	2	2	2	2
MutS	Mismatch repair ATPase (MutS family)	COG0249	Mismatch repair ATPase (MutS family)	1	2	1	1	2
NusG	Transcription antiterminator	COG0250	Transcription antiterminator	1	1	1	1	1
TdcF	Putative translation initiation inhibitor, yjgF family	COG0251	Putative translation initiation inhibitor, yjgF family	7	6	4	7	6
DapF	Diaminopimelate epimerase	COG0253	Diaminopimelate epimerase	1	1	1	1	1
RpmE	Ribosomal protein L31	COG0254	Ribosomal protein L31	1	0	1	1	0
RpmC	Ribosomal protein L29	COG0255	Ribosomal protein L29	1	1	1	1	1
RplR	Ribosomal protein L18	COG0256	Ribosomal protein L18	1	1	1	1	1
RpmJ	Ribosomal protein L36	COG0257	Ribosomal protein L36	1	1	1	1	1
Exo	5'-3' exonuclease (including N-terminal domain of PolI)	COG0258	5'-3' exonuclease (including N-terminal domain of PolI)	1	1	1	1	1
PdxH	Pyridoxamine-phosphate oxidase	COG0259	Pyridoxamine-phosphate oxidase	1	1	1	1	1
PepB	Leucyl aminopeptidase	COG0260	Leucyl aminopeptidase	2	2	2	2	2
RplU	Ribosomal protein L21	COG0261	Ribosomal protein L21	1	1	1	1	1
FolA	Dihydrofolate reductase	COG0262	Dihydrofolate reductase	1	1	3	1	1
ProB	Glutamate 5-kinase	COG0263	Glutamate 5-kinase	1	1	1	1	1
Tsf	Translation elongation factor Ts	COG0264	Translation elongation factor Ts	1	1	1	1	1
DegQ	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain	COG0265	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain	3	7	4	3	7
Nei	Formamidopyrimidine-DNA glycosylase	COG0266	Formamidopyrimidine-DNA glycosylase	1	1	1	1	1
RpmG	Ribosomal protein L33	COG0267	Ribosomal protein L33	1	0	1	1	0
RpsT	Ribosomal protein S20	COG0268	Ribosomal protein S20	1	1	1	1	1
BolA	Stress-induced morphogen (activity unknown)	COG0271	Stress-induced morphogen (activity unknown)	2	2	2	2	2
Lig	NAD-dependent DNA ligase (contains BRCT domain type II)	COG0272	NAD-dependent DNA ligase (contains BRCT domain type II)	1	1	2	1	1
DeoC	Deoxyribose-phosphate aldolase	COG0274	Deoxyribose-phosphate aldolase	1	1	1	1	1
COG0275	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis	COG0275	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis	1	1	1	1	1
HemH	Protoheme ferro-lyase (ferrochelatase)	COG0276	Protoheme ferro-lyase (ferrochelatase)	1	1	1	1	1
GlcD	FAD/FMN-containing dehydrogenases	COG0277	FAD/FMN-containing dehydrogenases	4	4	6	4	4
COG0278	Glutaredoxin-related protein	COG0278	Glutaredoxin-related protein	1	1	1	1	1
Pta	Phosphotransacetylase	COG0280	Phosphotransacetylase	2	2	2	2	2
SfcA	Malic enzyme	COG0281	Malic enzyme	1	1	1	1	1
Cmk	Cytidylate kinase	COG0283	Cytidylate kinase	1	1	1	1	1
