"Accession","Name","Description","EG18NEC_Bin12","EG18NEC_Bin13","EG18NEC_Bin8"
"COG0074","SucD","Succinyl-CoA synthetase, alpha subunit",1,1,1
"COG0075","COG0075","Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase",1,1,2
"COG0076","GadB","Glutamate decarboxylase and related PLP-dependent proteins",1,0,0
"COG0077","PheA","Prephenate dehydratase",1,1,2
"COG0078","ArgF","Ornithine carbamoyltransferase",1,1,1
"COG0079","HisC","Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase",2,4,3
"COG0080","RplK","Ribosomal protein L11",1,1,1
"COG0081","RplA","Ribosomal protein L1",1,1,1
"COG0082","AroC","Chorismate synthase",1,1,1
"COG0084","TatD","Mg-dependent DNase",1,1,1
"COG0085","RpoB","DNA-directed RNA polymerase, beta subunit/140 kD subunit",1,1,2
"COG0086","RpoC","DNA-directed RNA polymerase, beta' subunit/160 kD subunit",2,2,3
"COG0087","RplC","Ribosomal protein L3",1,1,1
"COG0088","RplD","Ribosomal protein L4",1,1,1
"COG0089","RplW","Ribosomal protein L23",1,1,1
"COG0090","RplB","Ribosomal protein L2",1,1,1
"COG0091","RplV","Ribosomal protein L22",1,1,1
"COG0092","RpsC","Ribosomal protein S3",2,1,1
"COG0093","RplN","Ribosomal protein L14",1,1,1
"COG0094","RplE","Ribosomal protein L5",1,1,1
"COG0096","RpsH","Ribosomal protein S8",1,1,1
"COG0097","RplF","Ribosomal protein L6P/L9E",1,1,1
"COG0098","RpsE","Ribosomal protein S5",1,1,1
"COG0099","RpsM","Ribosomal protein S13",1,1,1
"COG0100","RpsK","Ribosomal protein S11",1,1,2
"COG0101","TruA","Pseudouridylate synthase",1,1,1
"COG0102","RplM","Ribosomal protein L13",1,1,1
"COG0103","RpsI","Ribosomal protein S9",1,1,1
"COG0104","PurA","Adenylosuccinate synthase",1,1,1
"COG0105","Ndk","Nucleoside diphosphate kinase",1,1,0
"COG0106","HisA","Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase",1,1,1
"COG0107","HisF","Imidazoleglycerol-phosphate synthase",1,1,1
"COG0108","RibB","3,4-dihydroxy-2-butanone 4-phosphate synthase",1,1,1
"COG0109","CyoE","Polyprenyltransferase (cytochrome oxidase assembly factor)",1,1,1
"COG0110","WbbJ","Acetyltransferase (isoleucine patch superfamily)",3,2,0
"COG0111","SerA","Phosphoglycerate dehydrogenase and related dehydrogenases",4,3,3
"COG0112","GlyA","Glycine/serine hydroxymethyltransferase",1,1,1
"COG0113","HemB","Delta-aminolevulinic acid dehydratase",2,1,2
"COG0114","FumC","Fumarase",1,0,0
"COG0115","IlvE","Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase",2,2,3
"COG0117","RibD","Pyrimidine deaminase",1,1,1
"COG0118","HisH","Glutamine amidotransferase",1,1,1
"COG0119","LeuA","Isopropylmalate/homocitrate/citramalate synthases",3,2,3
"COG0120","RpiA","Ribose 5-phosphate isomerase",1,1,1
"COG0122","AlkA","3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase",1,1,1
"COG0123","AcuC","Deacetylases, including yeast histone deacetylase and acetoin utilization protein",1,1,2
"COG0124","HisS","Histidyl-tRNA synthetase",2,1,1
"COG0125","Tmk","Thymidylate kinase",1,1,1
"COG0126","Pgk","3-phosphoglycerate kinase",1,1,2
"COG0127","COG0127","Xanthosine triphosphate pyrophosphatase",1,1,1
"COG0128","AroA","5-enolpyruvylshikimate-3-phosphate synthase",1,1,1
"COG0129","IlvD","Dihydroxyacid dehydratase/phosphogluconate dehydratase",3,3,3
"COG0130","TruB","Pseudouridine synthase",1,1,1
"COG0131","HisB","Imidazoleglycerol-phosphate dehydratase",1,1,1
"COG0133","TrpB","Tryptophan synthase beta chain",1,1,1
"COG0134","TrpC","Indole-3-glycerol phosphate synthase",1,1,1
"COG0135","TrpF","Phosphoribosylanthranilate isomerase",1,1,1
"COG0136","Asd","Aspartate-semialdehyde dehydrogenase",1,1,1
"COG0137","ArgG","Argininosuccinate synthase",1,1,1
"COG0138","PurH","AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)",2,2,2
"COG0139","HisI","Phosphoribosyl-AMP cyclohydrolase",1,1,1
"COG0140","HisI","Phosphoribosyl-ATP pyrophosphohydrolase",1,1,1
"COG0141","HisD","Histidinol dehydrogenase",3,3,2
"COG0142","IspA","Geranylgeranyl pyrophosphate synthase",2,2,2
"COG0143","MetG","Methionyl-tRNA synthetase",1,1,1
"COG0144","Sun","tRNA and rRNA cytosine-C5-methylases",2,2,2
"COG0147","TrpE","Anthranilate/para-aminobenzoate synthases component I",2,1,2
"COG0148","Eno","Enolase",1,1,1
"COG0149","TpiA","Triosephosphate isomerase",2,1,1
"COG0150","PurM","Phosphoribosylaminoimidazole (AIR) synthetase",1,1,1
"COG0151","PurD","Phosphoribosylamine-glycine ligase",1,1,1
"COG0152","PurC","Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase",1,1,1
"COG0154","GatA","Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases",3,2,2
"COG0155","CysI","Sulfite reductase, beta subunit (hemoprotein)",2,1,1
"COG0156","BioF","7-keto-8-aminopelargonate synthetase and related enzymes",5,1,1
"COG0157","NadC","Nicotinate-nucleotide pyrophosphorylase",1,1,0
"COG0159","TrpA","Tryptophan synthase alpha chain",1,1,1
"COG0161","BioA","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase",3,4,4
"COG0162","TyrS","Tyrosyl-tRNA synthetase",1,1,1
"COG0164","RnhB","Ribonuclease HII",1,1,1
"COG0165","ArgH","Argininosuccinate lyase",2,1,1
"COG0166","Pgi","Glucose-6-phosphate isomerase",1,1,1
"COG0167","PyrD","Dihydroorotate dehydrogenase",2,2,2
"COG0168","TrkG","Trk-type K+ transport systems, membrane components",2,2,2
"COG0169","AroE","Shikimate 5-dehydrogenase",1,1,1
"COG0171","NadE","NAD synthase",1,1,1
"COG0172","SerS","Seryl-tRNA synthetase",1,1,2
"COG0173","AspS","Aspartyl-tRNA synthetase",1,1,1
"COG0174","GlnA","Glutamine synthetase",2,4,6
"COG0175","CysH","3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes",3,1,3
"COG0176","MipB","Transaldolase",1,1,1
"COG0177","Nth","Predicted EndoIII-related endonuclease",1,1,1
"COG0178","UvrA","Excinuclease ATPase subunit",1,1,1
"COG0179","MhpD","2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",4,3,3
"COG0180","TrpS","Tryptophanyl-tRNA synthetase",1,1,1
"COG0181","HemC","Porphobilinogen deaminase",1,1,1
"COG0182","COG0182","Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family",1,0,0
"COG0183","PaaJ","Acetyl-CoA acetyltransferase",4,5,7
"COG0184","RpsO","Ribosomal protein S15P/S13E",1,1,1
"COG0185","RpsS","Ribosomal protein S19",1,1,1
"COG0186","RpsQ","Ribosomal protein S17",1,1,1
"COG0187","GyrB","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit",3,2,2
"COG0188","GyrA","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",2,2,2
"COG0189","RimK","Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)",2,1,1
"COG0190","FolD","5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",1,1,1
"COG0191","Fba","Fructose/tagatose bisphosphate aldolase",2,1,2
"COG0192","MetK","S-adenosylmethionine synthetase",1,1,1
"COG0193","Pth","Peptidyl-tRNA hydrolase",1,1,1
"COG0195","NusA","Transcription elongation factor",1,1,1
"COG0196","RibF","FAD synthase",1,1,1
"COG0197","RplP","Ribosomal protein L16/L10E",1,1,1
"COG0198","RplX","Ribosomal protein L24",1,1,1
"COG0199","RpsN","Ribosomal protein S14",1,1,1
"COG0200","RplO","Ribosomal protein L15",1,1,1
"COG0201","SecY","Preprotein translocase subunit SecY",1,1,1
"COG0202","RpoA","DNA-directed RNA polymerase, alpha subunit/40 kD subunit",1,1,1
"COG0203","RplQ","Ribosomal protein L17",1,1,1
"COG0204","PlsC","1-acyl-sn-glycerol-3-phosphate acyltransferase",3,2,2
"COG0206","FtsZ","Cell division GTPase",1,1,1
"COG0207","ThyA","Thymidylate synthase",1,1,1
"COG0209","NrdA","Ribonucleotide reductase, alpha subunit",1,1,1
"COG0210","UvrD","Superfamily I DNA and RNA helicases",1,2,1
"COG0211","RpmA","Ribosomal protein L27",1,1,1
"COG0212","COG0212","5-formyltetrahydrofolate cyclo-ligase",1,1,1
"COG0213","DeoA","Thymidine phosphorylase",1,1,1
"COG0215","CysS","Cysteinyl-tRNA synthetase",1,1,1
"COG0216","PrfA","Protein chain release factor A",1,1,1
"COG0217","COG0217","Uncharacterized conserved protein",1,1,1
"COG0218","COG0218","Predicted GTPase",2,1,1
"COG0219","CspR","Predicted rRNA methylase (SpoU class)",1,0,1
"COG0220","COG0220","Predicted S-adenosylmethionine-dependent methyltransferase",1,1,1
"COG0221","Ppa","Inorganic pyrophosphatase",1,1,1
"COG0222","RplL","Ribosomal protein L7/L12",1,1,1
"COG0223","Fmt","Methionyl-tRNA formyltransferase",2,1,1
"COG0224","AtpG","F0F1-type ATP synthase, gamma subunit",1,1,1
"COG0225","MsrA","Peptide methionine sulfoxide reductase",2,2,2
"COG0226","PstS","ABC-type phosphate transport system, periplasmic component",1,1,1
"COG0227","RpmB","Ribosomal protein L28",1,1,1
"COG0228","RpsP","Ribosomal protein S16",1,1,1
"COG0229","COG0229","Conserved domain frequently associated with peptide methionine sulfoxide reductase",2,2,2
"COG0231","Efp","Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)",1,1,1
"COG0232","Dgt","dGTP triphosphohydrolase",1,1,1
"COG0233","Frr","Ribosome recycling factor",1,1,1
"COG0234","GroS","Co-chaperonin GroES (HSP10)",1,1,1
"COG0235","AraD","Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases",1,0,1
"COG0236","AcpP","Acyl carrier protein",2,2,2
"COG0237","CoaE","Dephospho-CoA kinase",1,1,1
"COG0238","RpsR","Ribosomal protein S18",1,1,1
"COG0239","CrcB","Integral membrane protein possibly involved in chromosome condensation",1,1,1
"COG0240","GpsA","Glycerol-3-phosphate dehydrogenase",1,1,1
"COG0242","Def","N-formylmethionyl-tRNA deformylase",1,1,1
"COG0243","BisC","Anaerobic dehydrogenases, typically selenocysteine-containing",3,2,5
"COG0244","RplJ","Ribosomal protein L10",1,1,1
"COG0245","IspF","2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",1,1,1
"COG0246","MtlD","Mannitol-1-phosphate/altronate dehydrogenases",3,1,1
"COG0247","GlpC","Fe-S oxidoreductase",2,1,1
"COG0248","GppA","Exopolyphosphatase",2,2,2
"COG0249","MutS","Mismatch repair ATPase (MutS family)",1,1,2
"COG0250","NusG","Transcription antiterminator",1,1,1
"COG0251","TdcF","Putative translation initiation inhibitor, yjgF family",4,7,6
"COG0253","DapF","Diaminopimelate epimerase",1,1,1
"COG0254","RpmE","Ribosomal protein L31",1,1,0
"COG0255","RpmC","Ribosomal protein L29",1,1,1
"COG0256","RplR","Ribosomal protein L18",1,1,1
"COG0257","RpmJ","Ribosomal protein L36",1,1,1
"COG0258","Exo","5'-3' exonuclease (including N-terminal domain of PolI)",1,1,1
"COG0259","PdxH","Pyridoxamine-phosphate oxidase",1,1,1
"COG0260","PepB","Leucyl aminopeptidase",2,2,2
"COG0261","RplU","Ribosomal protein L21",1,1,1
"COG0262","FolA","Dihydrofolate reductase",3,1,1
"COG0263","ProB","Glutamate 5-kinase",1,1,1
"COG0264","Tsf","Translation elongation factor Ts",1,1,1
"COG0265","DegQ","Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",4,3,7
"COG0266","Nei","Formamidopyrimidine-DNA glycosylase",1,1,1
"COG0267","RpmG","Ribosomal protein L33",1,1,0
"COG0268","RpsT","Ribosomal protein S20",1,1,1
"COG0271","BolA","Stress-induced morphogen (activity unknown)",2,2,2
"COG0272","Lig","NAD-dependent DNA ligase (contains BRCT domain type II)",2,1,1
"COG0274","DeoC","Deoxyribose-phosphate aldolase",1,1,1
"COG0275","COG0275","Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis",1,1,1
"COG0276","HemH","Protoheme ferro-lyase (ferrochelatase)",1,1,1
"COG0277","GlcD","FAD/FMN-containing dehydrogenases",6,4,4
"COG0278","COG0278","Glutaredoxin-related protein",1,1,1
"COG0280","Pta","Phosphotransacetylase",2,2,2
"COG0281","SfcA","Malic enzyme",1,1,1
"COG0283","Cmk","Cytidylate kinase",1,1,1
"COG0285","FolC","Folylpolyglutamate synthase",1,1,1
"COG0287","TyrA","Prephenate dehydrogenase",1,1,1
"COG0288","CynT","Carbonic anhydrase",2,1,1
"COG0289","DapB","Dihydrodipicolinate reductase",1,1,1
"COG0290","InfC","Translation initiation factor 3 (IF-3)",1,1,1
"COG0291","RpmI","Ribosomal protein L35",1,1,1
"COG0292","RplT","Ribosomal protein L20",1,1,1
"COG0293","FtsJ","23S rRNA methylase",1,1,1
"COG0294","FolP","Dihydropteroate synthase and related enzymes",1,1,2
"COG0295","Cdd","Cytidine deaminase",1,1,1
"COG0299","PurN","Folate-dependent phosphoribosylglycinamide formyltransferase PurN",1,1,1
"COG0302","FolE","GTP cyclohydrolase I",1,1,1
"COG0303","MoeA","Molybdopterin biosynthesis enzyme",1,3,3
"COG0304","FabB","3-oxoacyl-(acyl-carrier-protein) synthase",4,4,4
"COG0305","DnaB","Replicative DNA helicase",1,1,1
"COG0306","PitA","Phosphate/sulphate permeases",1,0,0
"COG0307","RibC","Riboflavin synthase alpha chain",1,1,1
"COG0308","PepN","Aminopeptidase N",1,1,1
"COG0312","TldD","Predicted Zn-dependent proteases and their inactivated homologs",2,2,2
"COG0313","COG0313","Predicted methyltransferases",1,1,1
"COG0314","MoaE","Molybdopterin converting factor, large subunit",1,1,0
"COG0315","MoaC","Molybdenum cofactor biosynthesis enzyme",1,1,1
"COG0316","sufA","Fe-S cluster assembly scaffold protein",2,2,2
"COG0317","SpoT","Guanosine polyphosphate pyrophosphohydrolases/synthetases",1,1,1
"COG0318","CaiC","Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II",3,5,5
"COG0319","COG0319","Predicted metal-dependent hydrolase",1,1,1
"COG0320","LipA","Lipoate synthase",1,1,0
"COG0321","LipB","Lipoate-protein ligase B",1,1,1
"COG0322","UvrC","Nuclease subunit of the excinuclease complex",1,1,1
"COG0323","MutL","DNA mismatch repair enzyme (predicted ATPase)",1,1,1
"COG0324","MiaA","tRNA delta(2)-isopentenylpyrophosphate transferase",1,1,1
"COG0325","COG0325","Predicted enzyme with a TIM-barrel fold",1,1,1
"COG0326","HtpG","Molecular chaperone, HSP90 family",1,0,0
"COG0328","RnhA","Ribonuclease HI",1,1,2
"COG0329","DapA","Dihydrodipicolinate synthase/N-acetylneuraminate lyase",3,1,1
"COG0330","HflC","Membrane protease subunits, stomatin/prohibitin homologs",4,4,3
"COG0331","FabD","(acyl-carrier-protein) S-malonyltransferase",1,1,1
"COG0332","FabH","3-oxoacyl-[acyl-carrier-protein].",2,2,1
"COG0333","RpmF","Ribosomal protein L32",1,1,1
"COG0334","GdhA","Glutamate dehydrogenase/leucine dehydrogenase",1,0,0
"COG0335","RplS","Ribosomal protein L19",1,1,1
"COG0336","TrmD","tRNA-(guanine-N1)-methyltransferase",1,1,1
"COG0337","AroB","3-dehydroquinate synthetase",1,1,1
"COG0339","Dcp","Zn-dependent oligopeptidases",1,1,1
"COG0340","BirA","Biotin-(acetyl-CoA carboxylase) ligase",1,1,2
"COG0342","SecD","Preprotein translocase subunit SecD",2,2,3
"COG0343","Tgt","Queuine/archaeosine tRNA-ribosyltransferase",2,1,1
"COG0344","COG0344","Predicted membrane protein",1,1,1
"COG0345","ProC","Pyrroline-5-carboxylate reductase",1,1,1
"COG0346","GloA","Lactoylglutathione lyase and related lyases",11,10,4
"COG0347","GlnK","Nitrogen regulatory protein PII",2,2,1
"COG0348","NapH","Polyferredoxin",2,1,2
"COG0349","Rnd","Ribonuclease D",3,2,2
"COG0350","Ada","Methylated DNA-protein cysteine methyltransferase",2,1,1
"COG0351","ThiD","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase",1,0,1
"COG0352","ThiE","Thiamine monophosphate synthase",2,1,2
"COG0353","RecR","Recombinational DNA repair protein (RecF pathway)",1,1,1
"COG0354","COG0354","Predicted aminomethyltransferase related to GcvT",1,1,1
"COG0355","AtpC","F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)",1,1,1
"COG0356","AtpB","F0F1-type ATP synthase, subunit a",1,1,1
"COG0357","GidB","Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division",1,1,1
"COG0358","DnaG","DNA primase (bacterial type)",1,1,1
"COG0359","RplI","Ribosomal protein L9",1,1,1
"COG0360","RpsF","Ribosomal protein S6",1,1,1
"COG0361","InfA","Translation initiation factor 1 (IF-1)",1,1,1
"COG0362","Gnd","6-phosphogluconate dehydrogenase",2,1,0
"COG0363","NagB","6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase",2,1,2
"COG0364","Zwf","Glucose-6-phosphate 1-dehydrogenase",1,1,1
"COG0365","Acs","Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases",4,5,5
"COG0366","AmyA","Glycosidases",1,1,0
"COG0368","CobS","Cobalamin-5-phosphate synthase",1,1,1
"COG0369","CysJ","Sulfite reductase, alpha subunit (flavoprotein)",1,0,0
"COG0372","GltA","Citrate synthase",3,1,2
"COG0376","KatG","Catalase (peroxidase I)",1,1,1
"COG0377","NuoB","NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases",1,1,1
"COG0379","NadA","Quinolinate synthase",1,1,0
"COG0382","UbiA","4-hydroxybenzoate polyprenyltransferase and related prenyltransferases",2,1,1
"COG0383","AMS1","Alpha-mannosidase",1,0,0
"COG0384","COG0384","Predicted epimerase, PhzC/PhzF homolog",4,1,1
"COG0388","COG0388","Predicted amidohydrolase",2,2,3
"COG0389","DinP","Nucleotidyltransferase/DNA polymerase involved in DNA repair",2,2,2
"COG0393","COG0393","Uncharacterized conserved protein",1,0,0
"COG0394","Wzb","Protein-tyrosine-phosphatase",1,1,2
"COG0395","UgpE","ABC-type sugar transport system, permease component",22,8,5
"COG0396","sufC","Cysteine desulfurase activator ATPase",1,1,1
"COG0397","COG0397","Uncharacterized conserved protein",1,1,0
"COG0398","COG0398","Uncharacterized conserved protein",2,2,1
"COG0399","WecE","Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis",2,3,2
"COG0402","SsnA","Cytosine deaminase and related metal-dependent hydrolases",3,1,3
"COG0403","GcvP","Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain",1,0,1
"COG0404","GcvT","Glycine cleavage system T protein (aminomethyltransferase)",7,8,9
"COG0405","Ggt","Gamma-glutamyltransferase",2,2,0
"COG0406","phoE","Broad specificity phosphatase PhoE and related phosphatases",3,1,1
"COG0407","HemE","Uroporphyrinogen-III decarboxylase",1,1,1
"COG0408","HemF","Coproporphyrinogen III oxidase",1,1,1
"COG0410","LivF","ABC-type branched-chain amino acid transport systems, ATPase component",5,5,7
"COG0411","LivG","ABC-type branched-chain amino acid transport systems, ATPase component",5,5,8
"COG0412","COG0412","Dienelactone hydrolase and related enzymes",1,0,0
"COG0413","PanB","Ketopantoate hydroxymethyltransferase",1,0,1
"COG0414","PanC","Panthothenate synthetase",1,0,1
"COG0415","PhrB","Deoxyribodipyrimidine photolyase",1,1,1
"COG0416","PlsX","Fatty acid/phospholipid biosynthesis enzyme",1,1,1
"COG0418","PyrC","Dihydroorotase",1,1,1
"COG0419","SbcC","ATPase involved in DNA repair",1,1,0
"COG0424","Maf","Nucleotide-binding protein implicated in inhibition of septum formation",2,2,2
"COG0425","SirA","Predicted redox protein, regulator of disulfide bond formation",1,1,1
"COG0431","COG0431","Predicted flavoprotein",5,0,2
"COG0432","COG0432","Uncharacterized conserved protein",1,1,0
"COG0433","COG0433","HerA helicase",2,1,1
"COG0435","ECM4","Predicted glutathione S-transferase",3,2,2
"COG0436","COG0436","Aspartate/tyrosine/aromatic aminotransferase",3,5,2
"COG0437","HybA","Fe-S-cluster-containing hydrogenase components 1",1,1,2
"COG0438","RfaG","Glycosyltransferase",2,12,2
"COG0439","AccC","Biotin carboxylase",1,1,1
"COG0440","IlvH","Acetolactate synthase, small (regulatory) subunit",1,1,1
"COG0441","ThrS","Threonyl-tRNA synthetase",2,1,1
"COG0442","ProS","Prolyl-tRNA synthetase",1,1,1
"COG0443","DnaK","Molecular chaperone",2,1,1
"COG0444","DppD","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",4,2,1
"COG0445","GidA","Flavin-dependent tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA",1,1,1
"COG0446","HcaD","Uncharacterized NAD(FAD)-dependent dehydrogenases",5,2,4
"COG0449","GlmS","Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains",1,1,1
"COG0450","AhpC","Peroxiredoxin",2,1,1
"COG0451","WcaG","Nucleoside-diphosphate-sugar epimerases",11,6,5
"COG0452","Dfp","Phosphopantothenoylcysteine synthetase/decarboxylase",1,1,1
"COG0456","RimI","Acetyltransferases",13,4,8
"COG0457","NrfG","FOG: TPR repeat",2,7,1
"COG0458","CarB","Carbamoylphosphate synthase large subunit (split gene in MJ)",2,2,2
"COG0459","GroL","Chaperonin GroEL (HSP60 family)",1,1,1
"COG0460","ThrA","Homoserine dehydrogenase",1,1,1
"COG0461","PyrE","Orotate phosphoribosyltransferase",1,1,1
"COG0463","WcaA","Glycosyltransferases involved in cell wall biogenesis",3,3,2
"COG0464","SpoVK","ATPases of the AAA+ class",1,0,1
"COG0465","HflB","ATP-dependent Zn proteases",1,1,2
"COG0466","Lon","ATP-dependent Lon protease, bacterial type",1,1,2
"COG0468","RecA","RecA/RadA recombinase",1,1,1
"COG0469","PykF","Pyruvate kinase",1,1,1
"COG0472","Rfe","UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase",1,1,1
"COG0473","LeuB","Isocitrate/isopropylmalate dehydrogenase",1,1,1
"COG0474","MgtA","Cation transport ATPase",1,0,0
"COG0475","KefB","Kef-type K+ transport systems, membrane components",2,1,1
"COG0476","ThiF","Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2",2,1,2
"COG0477","ProP","Permeases of the major facilitator superfamily",1,2,1
"COG0479","FrdB","Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit",1,1,1
"COG0480","FusA","Translation elongation factors (GTPases)",1,1,2
"COG0481","LepA","Membrane GTPase LepA",1,1,1
"COG0482","TrmU","Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain",1,1,1
"COG0483","SuhB","Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family",5,3,3
